"SAUNDERSFOOT HEAN CASTLE",,,,,,,,,,,,
Grid ref,SN138059,Long,-4.697104,Lat,51.720829,,,,,,,
Station no,4118,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.21,2.38,2.26,1.63,,
February,,,,,,,3.55,1.68,2.52,0.35,,
March,,,,,,,2.54,1.33,2.97,3.29,,
April,,,,,,,1.77,3.61,2.34,2.41,,
May,,,,,,,3.94,2.69,1.73,0.94,,
June,,,,,,,2.31,2.90,1.36,1.66,,
July,,,,,,,1.38,1.16,3.21,2.68,,
August,,,,,,,4.40,2.99,4.59,2.14,,
September,,,,,,,1.60,0.85,1.92,3.09,,
October,,,,,,,7.55,7.18,2.90,5.05,,
November,,,,,,,4.15,3.21,2.17,1.64,,
December,,,,,,,3.91,3.32,5.46,5.41,,
Total,,,,,34.66,29.42,43.31,33.30,33.43,30.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,43.31,33.30,33.43,30.29,,
Difference,NaN,NaN,NaN,NaN,34.66,29.42,0.00,-0.00,0.00,0.00,,
