"BRAMPTON BRYAN HALL",,,,,,,,,,,,
Grid ref,SO369726,Long,-2.927751,Lat,52.347823,,,,,,,
Station no,2263,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.92,,,
February,,,,,,,,,1.35,,,
March,,,,,,,,,3.65,,,
April,,,,,,,,,2.70,,,
May,,,,,,,,,1.40,,,
June,,,,,,,,,0.70,,,
July,,,,,,,,,2.55,,,
August,,,,,,,,,4.95,,,
September,,,,,,,,,1.76,,,
October,,,,,,,,,2.40,,,
November,,,,,,,,,2.25,,,
December,,,,,,,,,3.71,,,
Total,,,,,,,,,28.34,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.34,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,,
