LOGAN HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX096426,Long,-4.959403,Lat,54.74219,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,2.89,2,2.15,1.77,4.72,4.38,2.65,1.96,3.42,3.24,3.99,4.45,5.03,5.49,6.77,3.09,5.81,3.26,4.8,4.9,6.62,2.34,5.41,5.09,2.41,2.63,3.65,3.44,5.08,4.19,4.75,4.72,5.31,2.78,6.92,6.04,3.76,4.3,6,3.83,9.09,3.25,1.89,4.11,4.33,1.53,4.19,3.63,3.4,,3.5,2.32,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,2.84,2.71,3.32,2.86,3.37,1.35,3.52,4.21,3.21,1.83,4.01,0.97,2.46,0.69,4.44,5.93,1.09,4.03,4.07,2.18,3.34,2.64,0.36,2.67,0.18,3.51,0.56,3.3,2.41,6.1,2.15,2.68,2.76,3.3,2.46,1.78,1.57,4.8,2.5,0.7,1.82,1.67,3.86,2.66,0.87,1.15,3.66,3.12,1.12,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.85,3.67,1.81,1.11,4.07,3.62,4,1.56,1.21,2.43,1.28,3.35,3.67,3.78,1.39,1.44,2.53,1.18,1.81,4.49,4.46,0.89,2.15,1.23,2.14,3.42,2.25,1.48,2.23,1.74,0.91,3.57,5.08,3.12,3.87,0.81,1.35,1.5,1.9,6.71,2.48,3.06,2.41,3.61,2,0.65,3.97,1.72,1.5,,4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.44,3.75,3.08,3.23,1.29,3.31,1.77,2.45,3.11,2.28,1.27,2.25,2.92,1.12,2.77,2.86,2.41,2.75,1.75,1.95,2.33,1.04,1.59,2.09,3.67,1.46,2.53,3.67,1.01,2.42,0.43,1.63,3.19,1.61,2.56,2.67,2.3,2.2,1.03,3.9,2.16,2.3,3.01,1.47,1.4,2.15,0.68,2.42,1.26,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.76,1.47,2.28,1.81,1.5,3.44,1.78,1.24,5.8,3.31,3.63,1.5,3.95,1.88,2.34,2.11,3.47,3.93,2.53,2.27,1.28,3.33,1.51,2.67,2.75,2.49,3.42,0.63,3.56,1.74,2.93,1,1.72,2.88,2.94,3.29,1.6,3.4,1.38,4.56,2.64,1.03,1.4,2.47,2.2,2.79,1.97,3.32,1.11,,4.08,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.63,3.77,1.36,2.93,5.92,2.08,0.65,1.07,1.98,1.72,2.2,4.03,4.23,0.48,2.14,1.25,2.72,0.39,1.68,3.3,5.86,2.24,2.14,5.09,1.66,2.29,1.82,2.68,3.37,2.67,3.67,1.94,1.25,1.12,0.59,3.15,2.64,3.8,2.77,2.87,3.96,0.66,2.75,1.3,2.26,1.01,2.94,4.17,2.71,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.78,4.43,2.74,2.1,3.38,0.99,2.76,3.57,2.56,1.87,2.59,0.57,3.6,3.97,3.49,3.4,4.34,2.73,3.08,3.09,3.83,3.48,2.38,2.55,3.91,2.3,2.23,1.97,5.36,2.92,4.75,3.77,3.98,3.96,3.31,2.07,4.43,2.5,2.45,3.35,3.18,1.75,2.93,2.58,2.05,6.3,3.91,1.55,3.81,,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.26,1.89,5.9,1.92,4.94,1.17,3.86,1.67,2.76,3.6,3.63,2.97,3.27,3.91,3.23,6.87,3.91,2.03,3.64,4.31,3.68,5.64,6.68,2.37,2.31,1.85,4.07,2.02,3.01,1.93,2.56,2.43,1.46,6.13,4.01,6.75,3.02,1.03,5.15,0.38,3.83,2.33,4.82,3.99,5.99,2.87,4.51,1.59,7.45,,7.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,4.66,2.39,1.19,1.55,2.11,3.91,1.23,0.48,1.67,3.01,6.46,2.91,3.25,2.3,3.38,3.75,6.03,4.69,2.55,5.86,2.11,0.93,4.26,3.08,4.27,0.73,4.56,4.76,5.1,4.37,3.28,2.69,3.69,2.67,3.66,3.56,6.17,3.1,5.98,3.95,3.91,2.66,6.23,3.33,2.6,5.04,5.03,2.8,3.74,,3.44,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,7.13,1.87,7.39,2.61,3.63,4.95,3.06,1.95,4.58,7.22,7.19,4.3,2.51,4.8,3.73,2.15,3.79,2.27,3.66,5.21,4.75,7.9,5.39,7.53,2.86,5.75,3.16,5.18,5.03,3.36,3.26,6.56,3.52,4.4,5.44,5.86,5.22,6.42,4.11,0.77,1.65,4.19,6.06,3.72,0.69,4.14,4.92,7.04,3.12,2.96,,4.51,6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,5.04,3.58,1.56,7.34,4.48,3.02,5.17,4.77,1.82,3.11,4.4,3.76,3.82,3.01,4.57,2.4,4.02,3.82,2.57,6.23,4.84,6.55,6.13,5.11,7.78,2.75,3.28,2.84,5.77,3.87,1.53,4.98,6.8,6.17,3.87,0.7,4.25,6.13,0.62,6.12,5.91,3.67,5.29,3.42,7.36,3.77,4.77,7.38,3.5,1.79,,7.35,5.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,3.91,6.47,5.49,5.65,8.19,4.4,3.71,5.63,6.62,3.24,3.96,6.94,6.79,4.72,3.73,2.92,7.44,4.16,4.07,1.73,1.99,4.44,8.48,4.85,3.27,5.34,2.5,9.06,4.75,4.59,5.4,4.4,2.7,5.43,1.8,5.44,2.67,4.2,4.7,4.53,2.26,5.27,4.5,2.9,5.43,3.89,3.99,5.15,5.19,3.21,,4.31,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,39.03,40.52,39.43,35.58,43.67,36.19,34.57,31.23,39.29,38.84,44.06,36.12,44.91,35.65,37.42,45.95,42.56,35.29,39.08,43.93,52.4,42.53,43.97,40.75,37.14,29.62,42.17,39.5,42.95,38.27,41.37,37.45,44.44,38.68,42.32,42.26,43.59,36.06,40.58,40.07,46.2,34.56,39.34,39,35.5,37.17,50.43,36.13,34.06,,48.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR Nov 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
