"LOGAN HOUSE",,,,,,,,,,,,
Grid ref,NX096426,Long,-4.959403,Lat,54.742190,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,2.89,2.00,,
February,,,,,,,,,2.84,2.71,,
March,,,,,,,,,3.85,3.67,,
April,,,,,,,,,2.44,3.75,,
May,,,,,,,,,1.76,1.47,,
June,,,,,,,,,2.63,3.77,,
July,,,,,,,,,2.78,4.43,,
August,,,,,,,,,3.26,1.89,,
September,,,,,,,,,4.66,2.39,,
October,,,,,,,,7.13,1.87,7.39,,
November,,,,,,,,5.04,3.58,1.56,,
December,,,,,,,,3.91,6.47,5.49,,
Total,,,,,,,,,39.03,40.52,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.08,39.03,40.52,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
