CHARD-HIGH-STREET-COUNCIL-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST3181308594,Long,-2.9704492,Lat,50.872806,Elevation,425,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.25,4.84,8.26,6.99,3.43,6.61,2.08,4.8,4.38,5.74,4.96,6.22,2.1,7.26,3.71,4.93,3.91,3.85,0.86,7.02,,,,
February,,,,,,,,1.27,2.2,4.07,0.9,0.19,4.1,10.45,0.72,5.12,2.94,5.16,3.26,1.69,1.02,2.68,0.06,6.37,0.35,4.84,3.79,,,,
March,,,,,,,,3.9,1.52,5.77,3.83,2.07,3.83,2.03,1.91,0.42,0.53,5.36,3.43,0.21,2.68,1.18,3.11,5.02,3.09,1.23,5.34,,,,
April,,,,,,,,2.04,2.25,3.11,5.39,0.85,4.12,2.93,4.11,3.02,2.73,1.84,1.97,1.09,3.65,2.61,3.82,2.31,3.7,6.13,,,,,
May,,,,,,,,2.11,1.36,1.03,2.05,2.38,0.8,1.52,4.55,5.18,1.96,1.03,1.59,2.69,2.03,3.63,4.88,2.09,1.46,1.84,,,,,
June,,,,,,,,3.92,1.28,0.66,2.14,0.82,0.78,0.66,3.93,0.01,3.7,2.53,2.31,1.97,0.37,3.65,3.53,1.65,0.92,4.8,,,,,
July,,,,,,,,4.46,5.86,2.09,6.18,0.63,6.04,0.94,4.97,3.12,4.24,4.14,1.63,1.34,2.59,5.97,3.04,3.1,1.32,0.33,,,,,
August,,,,,,,,8.33,2.05,3.41,2.12,2.13,4.94,3.03,3.53,3.44,1.74,3.51,1.94,2.49,5.12,3.94,1.28,1.23,4.32,2.98,,,,,
September,,,,,,,,2.19,6.71,2.82,1.85,0.96,2.54,3.1,5.46,4.53,0.7,5.83,1.69,0.65,6.5,2.2,6.17,2.39,3.92,4.65,,,,,
October,,,,,,,,4.69,2.72,2.27,3.47,1.15,1.65,5.58,6.99,4.92,4.14,2.34,8.13,6.07,3.63,0.57,7.3,3.28,3.45,4.87,,,,,
November,,,,,,,,1.46,4.21,2.72,2.35,3.92,2.85,3.03,4.89,3.4,10.94,3.59,4.81,12.32,6.94,9.08,3.51,1.11,2.19,8.65,,,,,
December,,,,,,,,1.06,4.97,7.3,4.53,2.24,6.03,4.58,6.29,5.17,0.54,4.61,3.93,9.72,4.97,1.92,4.08,1,12.79,6.17,,,,,
Total,,,,,,,,36.68,39.97,43.51,41.8,20.77,44.29,39.93,52.15,42.71,39.9,44.9,40.91,42.34,46.76,41.14,45.71,33.46,41.36,47.35,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Apr Observer retired  Gauge moved 0.5 miles SE on 11 April Elevation around 400ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 Sept Gauge returned to original site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Feb Nov Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data after April 1936 deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
