BITTERLEY-MIX-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO563774,Long,-2.643604,Lat,52.392867,Elevation,509,ft.,,,,,,,,,,,,
Station no,2269/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,1.7,2.06,3.42,1.13,4.53,4.2,3.1,5.91,3.78,3.24,3.45,,,,,,,,
February,,0.18,3.45,0.41,2.56,2.67,5.49,0.71,1.2,3.08,3.15,0.81,,,,,,,,
March,,2.05,2.63,2.35,0.91,2.73,3,0.27,1.38,1.71,2.95,1.91,,,,,,,,
April,,3.99,1.13,4.57,5.02,2.5,2.23,1.26,1.56,3.23,1.72,1.93,,,,,,,,
May,,5.78,1.19,1.63,0.93,1.03,2.4,2.35,1.66,2.94,2.94,4.36,,,,,,,,
June,,0.99,2.74,1.09,3.1,3.74,0.65,1.7,1.68,0.91,2.05,0.47,,,,,,,,
July,,3.06,2.12,1.23,0.59,4.86,1.84,3.09,5.24,2.55,3.46,1.38,,,,,,,,
August,,2.74,1.67,4.41,1.4,0.57,0.53,4.49,1.84,0.15,2.77,1.91,,,,,,,,
September,,2.73,1.41,2.11,4.74,3.2,3.99,1.82,1.14,1.09,1.14,1.68,,,,,,,,
October,,4.37,5.88,2.38,3.32,1.92,1.47,3.45,3.45,3.77,2.03,1.74,,,,,,,,
November,,1.72,0.98,2.56,6.01,3.32,1.68,4.33,5.47,6.71,2.74,0.69,,,,,,,,
December,,1.74,0.87,5.68,3.27,4.26,2.59,3.38,2.38,1.38,1.61,3.92,,,,,,,,
Total,,31.05,26.13,31.84,32.98,35.33,30.07,29.95,32.91,31.3,29.8,24.25,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
NGR is for School from 1932. Gauge moved 60 yards from rectory,,,,,,,,,,,,,,,,,,,,
