KENTCHURCH RECTORY - 2nd short-lived gauge,,,,,,,,,,,
Grid ref,SO418256,Long,-2.847765,Lat,51.92586,Elevation,210,ft,,,
Station no,2220,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.64,3.1,,1.14,4.51,,,,,,
February,0.9,0.15,,8.25,0.7,,,,,,
March,4.35,2.06,,1.21,1.43,,,,,,
April,5.74,0.39,,2.65,3,,,,,,
May,2.55,0.88,,1.55,4.44,,,,,,
June,3.86,1.46,,0.38,1.98,,,,,,
July,4.88,0.9,,1.54,5.45,,,,,,
August,0.66,2.27,,1.84,2.75,,,,,,
September,2.6,1.47,,2.18,5.47,,,,,,
October,4.17,1.26,,5.55,4.92,,,,,,
November,1.06,2.56,,1.75,3.32,,,,,,
December,4.15,1.76,,1.93,4.79,,,,,,
Total,39.56,18.26,,29.97,42.76,,,,,,
