HELVELLYN (HILL TOP GILL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY317121,Long,-3.056127,Lat,54.499603,Elevation,1025,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3629/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,12.2,18.91,5.15,12.76,15.6,15.79,16.27,1.86,4.21,7.55,14.88,16.6,7.22,18.46,11.57,16.43,10.1,7.8,10,8.55,6.51,8.83,9.83,7.41,16.9,11.14,6.41,15.72
February,,,10.31,1.03,19.64,4.27,10.8,6.28,15.51,3.86,10.54,3.37,8.4,5.48,12.76,7.96,2.2,9.49,10.01,13.04,10.29,2.58,4.4,7.01,3.84,1.85,10.45,11.56,2.66,13.17
March,,,8.15,7.55,2.89,6.57,4.8,7.46,7.55,11.79,4.91,8.36,3.91,1.06,6.91,7.28,10,6.99,4.45,7.33,7.82,7.2,1.84,6.95,2.59,4.39,8.26,2.23,7.36,2.34
April,,,3.61,6.32,7.7,1.64,5.86,1.23,4.43,5.01,4.19,5.43,6.27,6.31,4.16,2.58,12.48,4.78,11.49,8.51,7.17,5.93,6.36,2.44,4.98,1.9,2.62,3.14,7,7.24
May,,,4.62,7.31,0.95,1.96,3.28,8.51,1.68,2.1,6.15,8.24,7.02,3.76,6.14,1.2,5.06,3.8,4.51,3.56,3.62,4.5,4.99,7.32,7.91,5.27,4.96,8.86,2.04,3.76
June,,,4.32,3.99,11.03,7.18,5.43,14.37,7.12,1.36,0.44,1.24,6.44,7.93,8.02,10.64,6.88,14.33,2.17,4.38,2.57,5.03,5.5,10.06,6.08,4.64,3.15,5.67,6.11,7.51
July,,11.07,8.64,3.2,4.94,10.09,5.39,13.57,12.51,8.17,2.73,6.47,6.56,4.91,6.7,8.18,6.58,6.33,3.01,7.85,5.66,6.33,14.38,8.41,5.9,8.53,7.91,5.62,9.18,9.86
August,,1.42,6.85,10.62,5.12,5.76,5.6,6.19,3.39,4.02,13.61,10.05,14.76,8.49,2.92,11.54,0.1,11.88,5.97,16.01,11.48,12.7,11.1,8.71,4.52,13.72,10.42,7.42,1.69,5.79
September,,11.37,1.81,15.17,17.15,12.73,9.47,7.48,2.11,7.88,2.42,10.13,12.47,10.07,10.96,18.17,9.71,12.78,3.45,22.95,15.5,9.73,16.85,19.83,8.51,7.46,10.56,10.78,1.74,6.53
October,,17.11,9.17,17.65,20.03,12.49,5.48,24.05,3.96,10.39,9.71,11.75,15.13,9.96,14.39,0.98,3.42,9.3,13.83,9.02,1.8,10.08,5.39,23.64,7.57,9.42,11.81,11.24,14.39,6.04
November,,9.16,4.09,3.14,9.82,11.18,2.73,17.33,18.27,11.62,7.78,2.82,7.73,17.47,0.96,20.34,18.37,10.16,17.92,10.08,22.11,6.5,19.26,21.95,4.95,4.49,4.15,2.95,14.56,20.44
December,,19.51,1.94,19.01,8.39,18.02,6.79,7.32,6.45,12.1,7.42,16.08,6.25,13.61,8.04,13.82,4.7,14,19.56,4.7,21.1,9.92,7.53,16.05,15.02,15.03,12.3,8.88,21.11,13.64
Total,,,75.71,113.9,112.81,104.65,81.23,129.58,99.25,80.16,74.11,91.49,109.82,105.65,89.18,121.15,91.07,120.27,106.47,115.23,119.12,89.05,104.11,141.2,81.7,84.11,103.49,89.49,94.25,112.04
Calc annual,0,69.64,75.71,113.9,112.81,104.65,81.23,129.58,99.25,80.16,74.11,91.49,109.82,105.65,89.18,121.15,91.07,120.27,106.47,115.23,119.12,89.05,104.11,141.2,81.7,84.11,103.49,89.49,94.25,112.04
Difference,0,69.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Feb and March left but adjusted for snow on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Feb and Dec ditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1958 Jan, Feb, Dec ditto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
