"GUISBOROUGH (WATERWORKS)",,,,,,,,,,,,
Grid ref,NZ638155,Long,-1.015632,Lat,54.530770,,,,,,,
Station no,3478/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,1.85,0.88,2.53,2.42,3.81,1.39,1.92,1.76,6.01,,
February,3.41,0.80,2.39,2.04,2.71,2.30,2.34,2.84,0.48,4.02,,
March,3.93,1.82,0.15,1.70,2.12,0.52,0.93,,0.86,1.36,,
April,1.46,1.17,2.47,0.21,1.45,1.14,0.56,,2.30,0.50,,
May,6.07,1.27,1.65,3.02,2.62,0.38,0.99,,0.81,1.07,,
June,2.17,1.31,2.91,2.32,2.29,3.95,2.74,2.94,1.87,0.43,,
July,2.08,1.75,3.15,1.39,1.49,3.02,3.49,2.46,3.23,5.73,,
August,6.94,2.66,2.91,8.77,0.94,8.01,3.18,1.91,0.37,2.86,,
September,1.10,7.78,1.58,1.45,1.14,1.65,3.24,1.58,1.00,2.94,,
October,2.25,3.00,2.45,4.51,2.59,1.57,2.23,1.20,1.62,8.37,,
November,5.87,4.15,1.75,5.96,2.18,1.84,2.11,0.93,5.44,3.96,,
December,3.09,2.34,1.48,2.17,3.36,1.71,2.30,3.53,4.47,3.48,,
Total,40.65,29.90,23.77,36.07,25.31,29.90,25.50,,24.21,40.73,,
Calc annual,40.65,29.90,23.77,36.07,25.31,29.90,25.50,19.31,24.21,40.73,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,,
