GUISBOROUGH WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ638155,Long,-1.016,Lat,54.531,Elevation,600,ft,,,,,,,,,,,,,,,,,
Station no,3478/5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.18,4.63,2.87,4.70,,5.69,2.57,3.14,1.17,3.53,1.39,1.98,5.79,0.60,-999.00,2.28,1.85,0.88,2.53,2.42,3.81,1.39,1.92,1.76,6.01
February,3.73,3.40,1.31,0.98,,5.98,1.25,1.05,2.70,1.06,0.69,2.72,1.12,0.70,-999.00,3.41,0.80,2.39,2.04,2.71,2.30,2.34,2.84,0.48,4.02
March,1.48,3.50,0.16,3.48,1.68,2.20,1.03,0.36,0.74,0.24,1.53,4.11,1.59,2.23,0.98,3.93,1.82,0.15,1.70,2.12,0.52,0.93,,0.86,1.36
April,1.46,3.20,0.26,1.69,1.91,1.33,1.05,1.15,1.89,0.76,2.20,3.63,1.12,3.02,2.34,1.46,1.17,2.47,0.21,1.45,1.14,0.56,,2.30,0.50
May,2.66,2.89,4.05,1.93,0.74,1.84,1.62,2.11,0.96,1.60,2.20,2.28,1.09,1.51,2.32,6.07,1.27,1.65,3.02,2.62,0.38,0.99,,0.81,1.07
June,4.74,1.23,2.60,3.74,1.20,1.17,1.56,0.82,2.56,1.98,1.73,2.20,5.18,0.37,2.42,2.17,1.31,2.91,2.32,2.29,3.95,2.74,2.94,1.87,0.43
July,3.49,1.39,3.51,2.53,8.29,1.17,3.42,1.47,2.84,1.86,4.43,2.73,1.41,1.60,3.73,2.08,1.75,3.15,1.39,1.49,3.02,3.49,2.46,3.23,5.73
August,2.47,1.59,3.16,2.72,1.17,3.40,2.96,3.18,4.28,3.90,4.59,0.28,3.55,2.68,5.18,6.94,2.66,2.91,8.77,0.94,8.01,3.18,1.91,0.37,2.86
September,3.21,2.22,2.33,1.52,1.27,0.66,2.91,3.53,6.03,1.71,3.68,2.43,1.48,2.23,2.79,1.10,7.78,1.58,1.45,1.14,1.65,3.24,1.58,1.00,2.94
October,1.82,2.54,3.10,4.95,4.34,3.11,2.54,1.81,3.29,2.81,1.33,0.48,1.37,2.18,1.75,2.25,3.00,2.45,4.51,2.59,1.57,2.23,1.20,1.62,8.37
November,2.94,3.31,3.02,2.41,4.08,3.06,2.99,2.14,5.74,0.90,5.11,1.60,1.11,4.55,6.41,5.87,4.15,1.75,5.96,2.18,1.84,2.11,0.93,5.44,3.96
December,1.97,4.85,5.11,1.58,2.52,0.48,1.43,1.55,1.58,1.70,3.10,2.46,2.50,2.18,2.25,3.09,2.34,1.48,2.17,3.36,1.71,2.30,3.53,4.47,3.48
Total,34.15,34.75,31.48,32.23,,30.09,25.33,22.31,33.78,22.05,31.98,26.90,27.31,23.85,35.31,40.65,29.90,23.77,36.07,25.31,29.90,25.50,,24.21,40.73
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/060,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/241,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/062,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for January and February 1940 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for February 1947 is estimated for snow and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,
# The reading for September 1947 is part estimated and has been retained.,,,,,,,,,,,,,,,,,,,,,,,,,
# The readings for January and February 1950 are apportioned.,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1978 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,
