WEST-PORLOCK-UNDERWAY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS873471,Long,-3.61482,Lat,51.21196,Elevation,80,ft,,,,,,,,,,,,,
Station no,2104,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,3.24,5.75,6.38,7.15,7.86,7.83,1.3,8.99,4.09,7.38,3.94,5.49,1.31,5.48,8.09,,8.04,3.73
February,,,,10.58,0.36,8.68,3.74,4.46,5.45,1.16,1.15,3.09,0,3.82,0.27,4.91,2.76,7.22,,2.89,3.19
March,,,,1.24,1.7,1.1,1.04,5.26,3.42,0.5,3.09,1.41,3.51,4.49,3.64,1.61,2.96,4.96,,2.04,2.84
April,,,,3.14,4.08,2.72,2.79,1.7,2.16,0.83,3.77,4.03,3.99,1.18,3.11,7.05,3.29,3.26,,3.96,4.26
May,,,,3.28,3.75,3.97,1.88,1.24,0.98,3.51,1.94,3.49,3.56,2.26,1.89,2.06,0.86,2.55,,1.06,1.61
June,,,,0.75,3.34,0.48,2.23,2.82,2.84,2.64,0.82,3.89,0.88,1.77,1.51,3.43,1.77,1.01,,2.22,0.86
July,,,,2.56,4.27,3.45,1.95,4.23,1.95,1.94,3.01,2.88,4.31,1.83,0.57,0.19,6.68,1.8,,5.64,5.62
August,,,3.43,3.78,7.93,4.12,2.38,5.82,2.34,2.82,4.67,4.77,0.52,1.52,4.85,3.38,0.41,0.63,,3.73,0.08
September,,,2.5,3.63,5.49,4.66,3.55,8.43,1.22,1.71,5.73,1.58,5.79,2.05,3.07,7.96,4.01,3.53,,0.63,2.37
October,,,2.11,7.86,6.57,4.49,5.7,3.41,7.37,9.54,5.04,1.19,9.83,7.13,5.17,5.92,4.32,3.84,,3.21,5.76
November,,,2.19,5.45,3.82,2.95,11.2,3.9,6.3,14.31,6.62,8.31,3.37,1.42,2.58,7.45,4.68,2.66,,9.62,10.25
December,,,7.65,4.6,8.38,6.35,0.34,3.46,6.32,13.31,7.32,3.38,2.55,1.13,8.96,5.7,7.54,4.1,,3.84,3.59
Total,,,,50.11,55.44,49.35,43.95,52.59,48.18,53.57,52.15,42.11,45.69,32.54,41.11,50.97,44.76,43.65,,46.88,44.16
