WALTHAM ON THE WOLDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK800248,Long,-0.8139,Lat,52.8156,Elevation,536,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2521/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.99,2.25,1.88,2.2,2.35,3.32,1.93,1.19,0.56,1.06,2.04,2.01,2.47,1.96,3.3,1.98,0.9,2.04,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.15,1.78,2.02,1.28,2.63,1.98,1.51,2.49,1.8,4.75,1.83,2.93,1.42,2.28,0.26,0.63,1.69,2.21,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.81,1.59,1.4,0.77,2.73,1.69,0.7,0.98,1.82,1.48,1.34,0.93,1.39,0.88,2.45,1.89,2.66,2.95,2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.21,1.22,1.63,1.3,4.57,2.75,1.63,3.16,2.13,1.1,2.94,2.75,1.61,1.74,1.69,1.25,2.3,3.58,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,2.25,2.72,0.95,0.93,0.71,2.56,3.72,3.98,1.51,1.06,2.33,2.94,1.3,1.77,5.31,2.05,0.85,4.98,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.79,1.63,0.52,2.51,2.09,1.23,2.03,4.01,5.06,2.53,4.35,2.62,1.35,2.34,1.89,0.54,2.17,0.5,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.18,1.89,1.05,9.12,0.93,3.25,1.21,3.93,6.85,1.89,3.05,3.01,4.37,0.07,2.78,1.57,4.78,2.91,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.88,3.31,2.47,2.31,1.59,3.06,5.74,3.96,1.79,5.53,3.09,3.73,2.1,2.16,2.22,0.64,2.6,3.8,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.89,2.17,2.56,2.45,5.55,2.01,1.51,3.47,5.08,2.66,2.59,5.81,0.86,3.6,1.7,2.88,1.09,2.35,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,3.8,2.29,2.14,5.01,1.33,2.14,2.53,0.9,5.69,3.47,5.4,2.25,1.26,5.78,5.17,2.01,0.65,3.26,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.62,2.77,2.37,4.78,3.34,2.81,4.07,1.51,1.89,2.75,3.95,4.05,1.4,2.9,2.31,2.31,3.84,0.66,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,3.45,0.44,2.06,2.21,5.81,1.87,1.94,1.43,2.68,3.13,4.63,1.23,2.14,0.78,4.07,1.43,1.82,2.19,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,24,37.02,24.06,21.05,34.87,33.63,28.67,28.52,31.01,36.86,31.41,37.54,34.26,21.67,26.26,33.15,19.18,25.35,31.43,22.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
