MARESFIELD-RECTORY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref ,TQ465239 ,Long ,0.0862729,Lat ,50.995854,Elevation ,182,ft ,,,,,,,,,,,,,,,,,,,,,,
Station no ,RR1655 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January ,,,,,,,1.8,,0.91,2.16,4.55,0.47,2.44,3.66,1.28,5.43,5.92,3.42,4.54,3.15,1.95,,,,,,,,,
February ,,,,,,,0.86,,0.73,2.57,1.28,2.01,0.75,1.16,1.1,2.24,4.57,1.71,1.07,2.77,1.82,,,,,,,,,
March ,,,,,,,1.06,,0.58,1.48,2.38,2.6,4.26,1.02,3.7,1.91,1.94,2.83,1.62,2.14,1.86,,,,,,,,,
April ,,,,,,,3.19,2.11,2.51,1.85,2.52,0.61,1.67,0.69,0.98,0.36,1.06,1.96,2.56,1.54,0.33,,,,,,,,,
May ,,,,,,,2.9,0.94,1.88,1.13,3.41,1.87,2.36,1.99,1.84,3.32,0.81,1.92,1.31,4.03,1.09,,,,,,,,,
June ,,,,,,,1.2,3.11,0.17,1.55,5.17,2.55,2.12,3.69,1.37,1.12,2.99,1.51,0.57,1.04,0.44,,,,,,,,,
July ,,,,,,,1.96,1.88,4.23,1.69,2.61,3.09,1.68,0.87,0.59,4.54,2.44,5.43,3.51,0.1,2.92,,,,,,,,,
August ,,,,,,,1.68,3.15,1.53,1.61,5.56,1.05,1.92,2.16,1.83,4.63,2.9,2.17,3.25,1.29,2.34,,,,,,,,,
September ,,,,,,,4.29,4.52,1.18,3.45,4.05,4.38,1.97,4.01,2.37,0.02,5.82,2.16,3.25,4.34,2.3,,,,,,,,,
October ,,,,,,,1.35,4.68,1.9,4.57,2.7,1.96,6.87,3.14,2.08,12.32,1.62,3.45,2.78,2.19,6.11,,,,,,,,,
November ,,,,,,,0.81,2.33,1.34,4.82,3.11,7.76,1.09,1.85,5.95,3.62,2.13,1.59,1.51,2.83,2.22,,,,,,,,,
December ,,,,,,,2.05,0.87,3,4.46,3.36,1.9,3.46,2.5,1.31,2.7,2.14,2.08,6.76,4.38,3.51,,,,,,,,,
Total ,,,,,,,23.15,,19.96,31.34,40.7,30.25,30.59,26.74,24.4,42.21,34.34,30.23,32.73,29.8,26.89,,,,,,,,,
