BUDLEIGH-SALTERTON-BRAYWICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY066821,Long,-3.32169,Lat,50.63168,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,3.57,3.84,1.77,4.49,2.26,2.83,2.31,2.26,0.6,5.61,5.54,3.49,6.07,1.99,5.12,4.16,7.35,1.91,2.14,3.15,2.86,5.39,0.52,0.97
February,,,,,,,,3.33,2.14,1.67,1.19,2.3,0.03,3.95,0.14,3.28,3.14,5.73,0.87,1.65,3.88,3.36,0.29,1.47,0.47,1.68,2.3,1.65,1.03,1.02,4.77
March,,,,,,,,3.6,3.07,0.24,2.35,1.6,2.39,3.44,2.66,1.25,3.83,5,0.16,1.29,2.74,2.46,3.45,1.28,0.07,0.73,1.21,7.47,1.05,1.44,1.12
April,,,,,,,,1.76,1.18,1.03,2.91,2.99,2.27,1.81,2.96,3.28,2.24,2.52,0.15,2.28,3.23,1.49,1.64,0.87,1.76,0.52,2.38,2.46,2.46,1.28,1.47
May,,,,,,,,0.46,1.73,2.56,1.68,2.81,3.86,1.77,0.82,2.16,0.66,2.56,2.04,0.55,1.74,2.37,5.43,2.32,0.39,3.9,5.25,3.28,2.32,1.5,2.41
June,,,,,,,,2.03,1.55,2.44,0.15,3.05,3.07,2.06,1.95,3.7,1.91,0.75,1.14,2.45,0.65,1.78,0.79,1.16,1.6,2.48,2.18,2.65,1.6,0.36,0.78
July,,,,,,,,3.79,1.39,1.43,1.24,3.51,1.81,2.76,0.34,0.32,4.47,2.86,4.09,5.03,2.25,0.73,1.7,2.04,2.6,1.9,1.03,1.46,1.08,1.75,3.55
August,,,,,,,,2.52,1.76,1.45,2.97,3.34,2.1,1.02,2.37,2.4,0.16,1.67,4.46,3.89,0.03,3.53,-999,2.24,3.93,2.13,3.49,1.26,3.08,0.9,3.2
September,,,,,,,,5.32,1.56,0.34,4.79,1.98,3.74,2.59,2.35,2.49,2.59,1.35,1.29,1.14,1.38,0.99,-999,2.59,1.33,2.62,3.49,1.41,1.24,3.59,4.12
October,,,,,,,,1.73,4.73,4.41,3.1,0.38,6.11,2.31,2.26,3.81,0.98,3.34,2.68,4.26,4.1,1.51,4.01,3.72,3.93,3.59,1.9,1,2.9,5.7,1.62
November,,,,,,,,2.92,3.61,8.23,5.07,5.39,2.97,1.46,2.09,6.23,2.64,1.9,5.69,4.45,6.42,2.58,0.81,2.11,5.1,1.44,4.83,1.94,1.61,3.94,5.14
December,,,,,,,,3.45,2.15,6.03,3.95,1.75,2.09,2.99,9.6,4.78,3.56,3.09,3.85,1.82,3.26,2.52,3.52,3.72,2.58,4.5,3.62,2.19,6.1,1.12,3.15
Total,,,,,,,,34.48,28.71,31.6,33.89,31.36,33.27,28.47,29.8,34.3,31.79,36.31,29.91,34.88,31.67,28.44,31.52,30.87,25.67,27.63,34.83,29.63,29.86,23.12,32.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braywick 5 East Budleigh Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Nov 9 Gauge moved 200yds W likely to end of garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation on sheet varies from 40ft to 140 ft Modern elevation suggests this area is flat so unknown why such variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Aug Sept Apportioned Combined value 5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Station terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
