INGLEBY MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ587058,Long,-1.096,Lat,54.444,Elevation,440,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956
January,3.61,2.54,4.10,2.57,1.05,1.61,2.60,1.42,1.56,3.02,2.58,4.75,0.99,2.76,0.74,3.71,4.18,1.61,1.47,3.20,2.98,0.40,3.44,0.66,1.35,0.90,2.92,2.23,3.49,4.49,1.57,4.30,0.84,4.90,2.05,4.40,4.23,4.03,1.95,1.78,2.09,1.75,3.77,1.96,4.41,2.84,5.21,2.33,2.07,2.92,2.31,3.11,4.73,4.69,2.88,4.88,1.80,4.71,3.64,4.55,1.43,6.05,1.37,,7.14,0.67,,,,1.14,7.20,2.19,5.19
February,1.63,2.05,1.24,0.76,1.77,1.88,1.58,0.09,2.78,4.44,2.73,0.96,0.59,2.12,1.95,2.34,5.59,3.24,1.61,2.09,3.47,1.26,1.92,1.69,2.65,1.59,3.58,1.31,2.24,0.96,2.79,5.50,3.79,0.49,1.37,1.61,0.93,0.23,1.90,5.69,1.99,4.79,1.69,1.49,1.33,1.27,2.09,2.43,1.69,5.22,1.81,3.46,3.78,3.56,1.45,1.77,1.87,7.81,1.65,0.79,2.95,1.40,0.38,,1.24,0.77,,,,2.33,2.92,3.18,2.58
March,3.14,1.75,3.16,1.86,4.54,3.43,3.16,3.28,1.93,0.43,1.26,2.82,2.67,5.09,3.82,2.23,2.12,2.97,1.34,3.29,2.64,2.38,1.95,0.78,3.51,4.68,0.94,2.56,3.80,3.28,2.30,1.99,5.46,3.39,1.45,4.61,3.12,1.48,2.87,1.72,1.60,2.04,0.64,2.45,3.07,0.23,3.20,2.09,2.83,1.47,3.24,0.69,1.61,4.34,0.10,3.02,2.29,2.53,0.93,0.25,0.98,0.35,1.10,,0.68,1.64,,,,0.26,2.05,2.38,1.10
April,2.95,2.89,2.97,1.06,2.43,2.89,0.85,2.17,2.13,0.34,1.25,1.69,0.68,2.22,3.01,3.42,1.24,2.04,2.45,2.09,1.91,3.26,1.12,2.99,3.43,3.00,2.88,1.36,0.09,3.70,0.85,1.10,1.85,3.41,1.72,2.33,4.16,1.34,1.79,1.88,2.10,3.35,1.05,2.02,1.80,1.07,4.27,4.23,1.26,1.02,3.78,3.08,1.59,2.48,0.22,1.19,2.29,1.76,1.18,0.74,1.56,0.90,1.44,,1.35,2.10,,,,2.46,0.18,1.11,0.83
May,0.38,4.32,5.00,3.01,1.17,2.44,2.13,4.20,2.88,2.12,2.15,1.11,1.13,1.44,2.50,4.65,1.49,1.70,2.84,3.07,4.52,1.10,4.72,3.75,2.40,1.53,2.50,0.90,2.29,2.08,2.35,1.64,2.78,1.10,2.17,1.05,1.97,2.08,2.31,2.99,4.57,2.45,1.95,1.73,1.67,1.80,1.01,2.24,6.06,2.08,1.02,1.33,1.60,2.90,3.20,2.68,1.16,1.06,1.81,2.76,1.23,1.87,1.74,,1.21,0.98,,,,,4.30,2.41,0.61
June,1.27,2.47,0.77,0.15,1.75,0.40,2.96,0.39,3.73,2.64,3.35,1.81,3.48,2.31,1.95,1.69,3.44,2.28,1.89,4.37,1.47,1.28,1.15,2.30,0.75,4.97,1.84,4.35,4.02,1.54,4.62,0.52,2.17,2.20,0.64,1.57,0.50,0.51,2.79,1.03,2.26,0.83,3.47,3.48,4.68,2.08,2.47,3.73,1.39,1.73,2.09,2.90,4.42,1.77,1.93,3.27,1.06,0.69,1.30,1.30,2.57,2.45,1.51,,7.11,0.49,,,,,2.04,2.54,5.12
July,3.21,0.63,5.52,1.37,5.34,3.56,2.63,5.09,2.12,2.81,3.05,5.46,2.13,1.10,1.97,1.25,1.66,4.33,3.62,4.11,2.80,0.92,1.48,1.34,2.67,2.80,2.91,0.95,7.03,1.09,5.09,5.02,1.75,1.21,4.36,3.44,6.04,1.33,5.34,3.32,3.05,2.41,3.94,3.02,0.79,2.32,11.21,4.37,4.37,2.50,2.74,0.57,2.77,1.30,3.05,3.06,7.33,2.36,3.48,0.82,2.69,1.62,3.87,1.80,0.61,1.65,,,,,1.61,1.27,3.83
August,0.91,3.80,2.87,3.14,2.46,5.09,4.46,5.04,3.56,1.78,2.47,2.92,3.43,4.15,2.58,0.80,7.19,1.40,2.45,2.37,3.40,3.27,2.40,2.33,2.72,4.70,4.15,2.43,4.37,1.62,1.39,2.17,2.34,7.59,2.66,3.28,2.36,5.01,2.69,3.52,3.21,3.07,2.07,6.67,3.79,2.42,3.47,2.22,2.27,0.33,2.77,1.74,2.02,1.73,3.35,2.55,1.42,2.70,1.56,2.29,2.91,4.53,4.65,0.11,3.17,2.31,,,,,7.28,0.76,7.52
September,1.91,2.73,1.97,4.40,2.08,1.44,1.40,3.11,1.67,2.15,2.47,1.19,4.18,3.19,0.51,3.91,1.01,1.06,1.09,3.52,1.74,3.03,0.63,0.60,2.48,3.04,0.80,2.48,2.14,1.34,2.03,1.79,1.79,0.75,5.32,1.17,1.55,0.82,3.35,2.29,2.29,3.45,1.33,5.84,1.01,0.90,4.03,7.50,2.93,2.00,2.00,4.74,3.25,1.53,1.86,2.56,1.50,0.99,2.22,2.89,4.38,0.91,3.59,1.64,1.50,0.28,,,,,1.59,1.23,1.63
October,2.48,7.11,3.77,4.00,0.81,7.91,2.04,3.83,7.71,1.37,7.51,6.14,7.50,1.75,4.97,3.74,6.11,2.07,3.37,8.80,0.54,3.78,6.61,5.31,1.14,2.86,3.73,2.78,3.22,2.92,3.23,1.70,4.18,3.83,2.64,7.38,2.28,1.47,2.24,2.78,3.98,3.47,3.46,2.54,4.17,3.26,2.14,1.79,3.95,4.63,3.04,3.63,1.62,2.23,3.08,5.57,3.99,3.89,2.90,1.22,2.77,2.50,0.84,0.47,0.91,2.26,,,,,4.17,2.47,1.71
