"INGLEBY MANOR",,,,,,,,,,,,
Grid ref,NZ589057,Long,-1.093289,Lat,54.443301,,,,,,,
Station no,3480,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.14,7.20,2.19,5.19,,,,,,
February,,,2.33,2.92,3.18,2.58,,,,,,
March,,,0.26,2.05,2.38,1.10,,,,,,
April,,,2.46,0.18,1.11,0.83,,,,,,
May,,,,4.30,2.41,0.61,,,,,,
June,,,,2.04,2.54,5.12,,,,,,
July,,,,1.61,1.27,3.83,,,,,,
August,,,,7.28,0.76,7.52,,,,,,
September,,,,1.59,1.23,1.63,,,,,,
October,,,,4.17,2.47,1.71,,,,,,
November,,,,5.64,2.74,1.86,,,,,,
December,,,,2.91,3.54,3.54,,,,,,
Total,,,,41.89,25.82,35.52,,,,,,
Calc annual,0.00,0.00,6.19,41.89,25.82,35.52,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
