"ROCHDALE, SHUTTLEWORTH MOSS",,,,,,,,,,,,
Grid ref,SD830176,Long,-2.258689,Lat,53.654616,,,,,,,
Station no,RR8001,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.38,3.07,4.08,4.20,2.32,6.53,2.21,4.32,2.85,,
February,,1.85,2.04,4.02,3.81,2.16,4.37,2.66,3.63,2.71,,
March,,3.20,2.97,5.64,2.87,3.72,3.84,4.02,3.39,3.55,,
April,,3.13,2.53,2.36,3.05,3.98,2.23,4.42,3.07,3.81,,
May,,1.49,3.69,4.34,3.25,0.72,4.74,4.59,3.37,3.32,,
June,,2.39,1.54,2.43,1.46,3.96,1.66,8.35,2.15,3.08,,
July,2.65,1.89,3.30,4.86,2.30,3.16,2.29,3.52,6.03,7.10,,
August,6.65,3.05,3.98,6.41,5.40,5.70,5.38,5.35,4.60,3.83,,
September,1.87,2.19,2.22,5.79,1.94,3.09,1.68,1.47,4.38,3.82,,
October,6.52,3.98,5.31,10.91,3.05,4.17,7.55,5.00,2.39,6.49,,
November,4.29,6.42,3.47,3.90,4.23,5.09,4.88,3.83,3.29,1.88,,
December,6.38,6.25,3.93,2.71,3.39,1.02,4.46,4.73,3.73,7.69,,
Total,,39.22,38.05,57.45,38.95,39.09,49.61,50.15,44.35,50.13,,
Calc annual,28.36,39.22,38.05,57.45,38.95,39.09,49.61,50.15,44.35,50.13,,
Difference,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
