"ROCHDALE, SHUTTLEWORTH MOSS",,,,,,,,,,,,,,,,,,,,
Grid ref,SD830176,Long,-2.258689,Lat,53.654616,Elevation,1076,ft,,,,,,,,,,,,
Station no,RR8001,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,3.38,3.07,4.08,4.2,2.32,6.53,2.21,4.32,2.85,5.15,1.69,4.24,4.32,3.5,6.98,3.79,3.02,3.57,
February,,1.85,2.04,4.02,3.81,2.16,4.37,2.66,3.63,2.71,4.81,5.49,2.31,1.86,3.09,5.21,4.76,1.32,6.42,
March,,3.2,2.97,5.64,2.87,3.72,3.84,4.02,3.39,3.55,1.08,2.37,6.12,5.03,5.93,1.89,2.34,2.25,2.25,
April,,3.13,2.53,2.36,3.05,3.98,2.23,4.42,3.07,3.81,3.32,2.87,0.93,5.02,1.69,1.98,3.91,1.34,,
May,,1.49,3.69,4.34,3.25,0.72,4.74,4.59,3.37,3.32,3.08,3.47,2.8,3.69,2.58,1.86,3.15,2.11,,
June,,2.39,1.54,2.43,1.46,3.96,1.66,8.35,2.15,3.08,3.53,4.4,7.29,3.17,2.47,1.55,3.37,2.46,,
July,2.65,1.89,3.3,4.86,2.3,3.16,2.29,3.52,6.03,7.1,5.8,0.4,5.06,1.36,5.75,5.32,2.38,2.56,,
August,6.65,3.05,3.98,6.41,5.4,5.7,5.38,5.35,4.6,3.83,7.44,3.23,8.38,2.38,4.2,6.09,4.23,7.65,,
September,1.87,2.19,2.22,5.79,1.94,3.09,1.68,1.47,4.38,3.82,0.43,4.45,2.09,2.33,4.64,0.81,3.2,2.47,,
October,6.52,3.98,5.31,10.91,3.05,4.17,7.55,5,2.39,6.49,3.81,3.59,5.79,2.46,2.98,2.24,8.56,9.21,,
November,4.29,6.42,3.47,3.9,4.23,5.09,4.88,3.83,3.29,1.88,6.04,5.05,3.68,5.7,6.43,2.28,3.58,5.38,,
December,6.38,6.25,3.93,2.71,3.39,1.02,4.46,4.73,3.73,7.69,4.57,7.16,5.22,3.02,6.26,8.73,3.5,2.57,,
Total,,39.22,38.05,57.45,38.95,39.09,49.61,50.15,44.35,50.13,49.06,44.17,53.91,40.34,49.52,44.94,46.77,42.34,,
