"LHANBRYDE (BLACKHILLS HOUSE)",,,,,,,,,,,,
Grid ref,NJ272582,Long,-3.219992,Lat,57.607899,,,,,,,
Station no,5677,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.89,3.03,1.52,2.18,1.25,3.01,2.53,3.92,3.93,3.37,,
February,3.51,1.68,1.91,1.41,2.50,2.16,1.44,3.59,0.35,2.40,,
March,3.08,2.69,0.62,1.87,1.89,0.75,2.66,1.66,1.39,1.32,,
April,3.62,1.37,2.55,0.85,1.28,1.95,0.93,1.48,2.29,1.83,,
May,1.03,1.84,2.37,5.63,4.01,0.74,1.15,3.13,0.76,0.72,,
June,2.97,2.32,3.89,2.80,1.27,2.63,2.91,2.76,1.87,3.36,,
July,5.09,2.89,4.48,3.08,0.63,6.43,5.27,5.76,2.79,3.19,,
August,4.55,4.09,2.16,3.15,2.75,4.54,5.71,4.05,1.84,8.80,,
September,0.89,5.09,3.30,2.31,1.66,2.11,2.23,2.09,0.89,2.45,,
October,1.17,2.47,0.80,5.16,5.74,3.29,1.47,1.72,3.21,4.34,,
November,4.92,3.43,2.04,2.87,0.88,1.85,3.29,1.23,3.50,2.00,,
December,2.77,2.74,2.82,4.74,5.05,2.89,3.55,2.14,1.87,1.04,,
Total,36.49,33.64,28.46,36.05,28.91,32.35,33.14,33.53,24.69,34.82,,
Calc annual,36.49,33.64,28.46,36.05,28.91,32.35,33.14,33.53,24.69,34.82,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
