Rainfall at,BLACKSTONE EDGE
,
Station no,,
,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,3.20,2.10,3.00,0.90,3.00,3.20,1.80,1.40,3.00,7.00,
February,0.80,0.30,1.90,3.60,4.80,0.10,1.00,2.90,3.50,1.30,
March,2.90,1.70,0.50,1.30,3.00,3.50,5.40,4.70,2.40,2.10,
April,1.40,2.20,1.00,0.60,2.50,2.20,1.50,3.20,2.20,3.80,
May,3.20,3.20,3.70,2.80,2.80,0.50,0.40,1.50,3.10,3.00,
June,2.80,2.30,3.80,2.40,3.30,3.60,2.20,4.20,3.30,1.30,
July,3.20,2.50,1.90,3.10,3.00,4.90,2.50,1.90,0.90,2.70,
August,4.90,6.20,3.60,2.40,6.10,3.90,2.10,3.50,6.40,1.00,
September,1.10,2.80,3.60,3.50,0.50,1.70,7.50,4.60,1.00,7.40,
October,3.30,5.10,7.70,3.50,6.60,3.90,4.80,2.80,5.00,3.40,
November,5.10,3.50,2.50,3.20,5.00,3.00,1.50,4.60,2.60,1.10,
December,0.80,6.30,2.40,3.90,3.80,4.10,4.90,5.90,5.70,2.60,
Total,32.70,38.20,35.60,31.20,44.40,34.60,35.60,41.20,39.10,36.70,
Calc annual,32.70,38.20,35.60,31.20,44.40,34.60,35.60,41.20,39.10,36.70,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
