"OLDHAM (ALEXANDRA PARK)",,,,,,,,,,,,
Grid ref,SD931039,Long,-2.105566,Lat,53.531710,,,,,,,
Station no,2841/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.18,,3.76,3.83,5.46,,
February,,,,,,1.61,,6.19,0.44,2.28,,
March,,,,,,1.27,,2.66,2.08,0.89,,
April,,,,,,3.21,,1.44,3.27,2.58,,
May,,,,,,1.50,,3.90,1.52,1.96,,
June,,,,,,2.98,2.48,-999.00,3.69,2.12,,
July,,,,,1.19,6.61,5.09,4.80,3.63,7.36,,
August,,,,,1.56,11.15,5.38,6.09,0.56,6.46,,
September,,,,,2.62,3.52,7.21,5.32,0.36,3.52,,
October,,,,,2.01,3.22,5.49,4.05,4.24,4.50,,
November,,,,,1.46,1.35,2.10,1.67,4.63,5.68,,
December,,,,,5.50,4.16,4.49,3.86,6.18,4.57,,
Total,,,,,,45.76,,49.01,34.43,47.38,,
Calc annual,0.00,0.00,0.00,0.00,14.34,45.76,32.24,43.74,34.43,47.38,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,5.27,0.00,0.00,,
