"OLDHAM, ALEXANDRA PARK",,,,,,,,,,,,
Grid ref,SD931039,Long,-2.105566,Lat,53.531710,,,,,,,
Station no,2841/5,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.56,3.97,,4.71,3.40,7.25,2.25,3.77,2.08,,
February,,2.65,2.29,,5.04,2.02,5.66,1.47,3.26,1.89,,
March,,3.78,3.17,,2.88,5.43,5.57,3.38,3.04,3.38,,
April,,4.06,3.12,,3.64,6.19,3.14,2.43,2.36,3.97,,
May,,1.55,4.40,,3.07,2.34,3.83,5.55,2.79,2.02,,
June,,2.98,2.42,,1.97,5.31,1.55,7.61,2.35,2.63,,
July,,4.79,4.16,,1.46,4.90,2.73,3.98,5.85,6.60,,
August,,3.04,5.86,,6.05,8.29,4.14,5.21,4.54,3.98,,
September,,1.14,2.56,,1.94,5.51,1.76,1.23,4.43,2.34,,
October,,5.08,7.29,,3.92,5.82,6.54,6.40,1.58,6.00,,
November,,7.81,2.47,,5.52,4.12,3.92,2.99,2.58,2.01,,
December,,7.68,3.79,,4.94,4.52,3.84,4.05,3.03,6.31,,
Total,,48.12,45.50,,45.14,57.85,49.93,46.55,39.58,43.21,,
Calc annual,0.00,48.12,45.50,0.00,45.14,57.85,49.93,46.55,39.58,43.21,,
Difference,NaN,-0.00,0.00,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,,
