BRAEMORE-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid reference,NH199792,Long,-5.0287,Lat,57.767,Elevation,750,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939
January,,,,,,,,,,2.55,,2.6,7.18,4.2,14.09,6.32,4.17,5.95,5.03,0.74,6.57,1.25,3.04,4.34,7.44,4.45,6.31,6.72,2.86,1.99,13.55,4.8,10.1,5.1,5.1,4.35,8.6,2.69,5.75,5.2,4.95,7.6,9,6.85,6.56,11.5,4.5,3.15,4.1,8.13,5.92,4.51,3.2,3.5,9.03,,,,,,,,7.6,10.31,6.2,8.9,6.95,11.64,12.35,2.4,10.32,10.26,10.5,,,,,,,
February,,,,,,,,,,9.32,,4.5,2.04,1.8,1.26,2.21,6.08,1.84,1.97,3.34,5.35,0,2.83,5.88,9.74,8.92,6.11,4.76,4.19,9.34,1.35,4.31,4.98,4.56,13.09,2.3,2.9,3.26,10.3,3.6,6.6,5.75,4.2,5.9,3.48,9,7,8.1,5.5,3.02,4.92,7.33,5.1,4.75,5.9,,,,,,,,8.15,4.35,6.8,5.5,4.2,2.46,8.62,1.4,1.95,9,1.5,,,,,,,
March,,,,,,,,,,2.28,,3.65,2.01,1.46,4.79,2.52,8.93,2.38,4.62,9.33,2.24,2.38,4.89,7.12,3.75,5.51,2.52,2.99,5.02,5.41,7.23,5.81,1.7,5.34,10.14,6.85,5.5,8.02,7.95,4.05,5,4.5,5.8,7.5,1.5,4.3,4.65,7.1,8.4,5.2,3.25,5.5,7.3,9.03,6.03,,,,,,,,4.25,1.8,4.45,5.53,8.31,2.8,3.6,1.56,3.75,2,3.3,,,,,,,
April,,,,,,,,,,1.56,,1.12,5,2.48,6.83,2.34,3.18,2.22,1.48,1.06,2.07,5.31,4.82,1.6,1.11,3.4,2.75,5.05,4.05,2.18,3.45,2.27,2.1,1.3,1.65,4.55,6.55,3.3,4.95,4.53,3.3,2.2,2.75,6.2,9.25,5.5,5.2,5,4.6,3.1,8.22,6.1,4.19,4.07,7.53,,,,,,,,6.1,3.16,3.7,4.9,3.71,9.15,2.5,3.5,3.9,5.56,6.4,,,,,,,
May,,,,,,,,,,0.52,,1.25,2.33,3.66,0.95,4.5,1.22,3.66,5.2,3.01,1.78,1.9,2.82,3.78,6.58,6.53,4.09,3.67,4.24,2.19,2.04,4.5,3.72,2.86,2.05,3.96,2.6,3.55,3.55,3.5,2.65,0.55,3.45,2.05,3.75,2.4,2.5,2,2.3,2.45,4.15,1.35,3,5.03,3.04,,,,,,,,4.42,6.2,2.8,4.66,4.4,4.9,3.41,2.55,5,3.4,3,,,,,,,
June,,,,,,,,,,2.95,,1.15,4.19,2.47,4.06,2.67,3.4,2.62,2,2.8,2.7,3.78,4.2,2.14,2.04,5.17,4.34,0.35,4.05,0.84,3.55,1.94,5.19,2.08,2.8,3.15,3.53,1.85,4.08,2.9,3.2,2.1,4.25,0.5,4.25,1.6,1.95,7.04,2.2,2.22,3.6,4.6,4.2,4.75,2.25,,,,,,,,3.3,3.86,3.22,1.63,3.25,7.1,6.32,4.4,3.12,4.65,0.56,,,,,,,
July,,,,,,,,,,2.8,,6.05,2.97,5.54,1.59,5.86,2.79,4.48,1.66,6.4,6.37,4.71,6.28,6.4,4.08,1.84,5.32,4.12,2.55,1.9,4.5,7.11,2.8,4.4,4.95,5.7,3.4,4.65,4.45,2.54,4.9,3.4,2.5,8,1.07,4.02,3.8,4.1,3.2,3.6,3.17,3.61,2.85,2.75,6.5,,,,,,,,4.22,4.78,3.9,4.4,2.34,2.73,7.2,3.6,3.75,4.75,5.7,,,,,,,
August,,,,,,,,,,3,,5.06,1.92,6.72,7.68,2.31,3.91,3.8,2.99,5.23,0.93,4.02,3.57,4,3.57,2.8,4.08,7.25,4.01,5.36,7,4.8,4.98,4.21,6.35,5.26,3.65,3.15,1.85,3.3,3.3,5.7,2.9,9,4.12,3.42,6.3,5.58,8.5,4.83,5.7,2.17,6.25,1.71,2.63,,,,,,,,3.61,7.8,7.8,2.15,4.93,4.22,6.26,6.76,7.5,1.35,3.72,,,,,,,
September,,,,,,,,,,5.8,,5.23,5.05,10.41,7.85,4.7,3.5,7.15,5.89,5.23,1.3,2.08,5.83,4.7,2.53,7.94,3.64,4.38,1.59,4.7,2.12,4.4,8.5,10.97,1.1,3.4,4.8,5.6,5.9,11.5,6.2,3.75,3.65,3.7,8,7.5,3.3,2.1,5.7,2.62,2.6,5.02,5.4,3.45,5.33,,,,,,,,3.5,6.18,8.9,7.27,4.64,10.18,5.35,4.9,4.55,1.45,6.1,,,,,,,
October,,,,,,,,,,-999,,4.41,7.84,9.37,12.2,4.54,4.92,2.28,5.04,3.85,4.51,2.1,2.11,7.64,9.73,12.48,7.27,4.59,6.56,4.05,13.87,6.2,6.41,6.68,2.35,6.35,12.17,6.4,5.1,4.1,9.8,4.55,6.75,9.85,5,6.42,6.27,2.16,2.4,8.5,3.48,1.85,6.35,6.32,4.5,,,,,,,,2.12,10.4,4.5,5.2,9.45,8.9,7.54,9.35,10.9,5.62,8.1,,,,,,,
