"RIVINGTON, HURST HILL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD629179,Long,-2.562831,Lat,53.656268,Elevation,1029,Ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31,2.54,4.39,2.81,3.66,1.68,5.05,1.82,3.14,2.31,5.21,1.29,2.97,3.82,2.92,5.57,3.2,2.34,2.9,4.55,4.16,7.13,4.09,4.36,3.5,2.99,4.42,5.41,11.91,2.05,6.83,5.78,5.38,3.18,3.86,2.77,5.21,3.2,5.94,6.17,2.45,,4.85,5.96,5.6,5.05,4.87,5.08,9.08,3.3,3.73,5.47,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,1.62,1.45,3.46,3.05,1.78,3.2,1.58,3.7,1.54,4.13,3.89,1.95,1.38,2.47,5.13,3.3,1.41,4.62,1.09,3.03,0.36,5.24,6.1,1.09,6.17,4.6,2.25,6.63,1.39,0.43,5.35,0.2,6.73,0.3,6.7,3.99,5.91,1.55,4.55,2.86,,2.35,2.36,2.3,5.3,5.9,2.7,2.55,2.53,5.48,3.92,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,2.77,2.74,3.86,2.18,3.14,3.4,3.47,3.13,2.9,0.99,1.68,5.97,4.55,4.45,1.84,1.74,2.67,1.74,4.54,3.92,3.43,2.54,2.11,1.65,2.1,1.81,,3.02,1.88,3.93,1.12,3.1,3.17,3.14,1.49,3.33,2.74,1.82,2.24,2.97,,3.92,1.3,1,1.78,1.2,8.08,1.87,2.78,2.27,4.73,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.97,2.61,1.75,2.48,2.81,1.85,2.18,2.84,4.29,3.17,3.33,0.73,5.07,1.22,2.34,4.06,2.01,1.22,2.77,5.41,2.18,2.41,3.79,1.88,2.42,1.79,,1.32,1.42,2.81,3.66,3.43,1.82,2.87,3.4,1.45,3.86,0.67,3.43,2.84,,2.05,2.7,2.48,2.53,1.32,3.78,2.03,3.73,3.13,3,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.92,3.89,3.66,2.01,1,4.19,4.29,3.43,2.44,3.59,2.91,2.54,3.89,2.17,1.51,3.33,1.95,2.64,1.54,7.91,3,2.01,4.19,5.31,5.3,2.77,1.99,1.51,3.41,2.21,2.64,5.21,2.41,4.09,1.35,1.85,2.9,4.72,1.62,1.35,2.78,3.8,3.5,3.42,3.49,1.91,3.43,2.08,3.73,1.78,2.87,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,2.51,2.01,1.75,2.58,2.38,3.2,8.94,1.98,4.22,3.67,3.93,6.22,3.16,1.65,2.18,3.63,2.83,2.57,2.61,2.97,0.72,3.86,1.5,3.27,0.13,2.4,5.28,6.6,2.25,3.07,7.55,0.83,3.43,2.24,3.43,4.92,2.15,5.41,3.86,1.09,0.62,1,3.76,3.25,4.37,3.83,2.73,5.53,1.58,3.42,1.23,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,1.98,4.36,4.69,1.88,3.14,2.54,3.86,5.74,6.47,6.11,0.36,5.31,1.88,5.21,4.88,3,2.28,3.5,1.9,6.69,1.84,5.57,5.69,5.25,4.34,4.06,5.01,3.3,4.69,6.27,4.32,5.41,2.81,2.54,2.24,5.54,2.57,5.12,7.59,6.34,3.12,5.98,3.62,4.75,3.05,4.43,3.73,3.13,2.98,4.47,3.37,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.64,2.97,2.64,6.1,4.75,4.52,3.93,5.77,3.63,4.62,6.07,4.39,8.35,2.54,3.36,5.94,3.33,8.08,5.08,4.32,2.9,7.22,5.11,5.8,7.75,4.41,4.59,5.87,8.07,6.04,9.74,5.71,1.49,3.53,6.17,1.88,3.4,2.51,3.5,2.74,,7.05,4.92,7.83,3.25,3.07,9.33,0.2,5.83,2.53,9.22,4.52,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,1.16,2.24,5.35,1.45,3.1,1.95,1.19,5.61,3.24,0.69,4.23,2.64,2.21,3.91,1.09,3.03,2.83,12.34,2.47,3.49,,5.08,5.84,4.68,4.96,4.85,,1.68,2.54,3.5,5.44,5.97,1.16,4.16,9.34,4.52,2.21,3.23,1.85,,1.35,3.8,5.2,7.35,2.25,8.05,4.43,3.15,2.33,7.87,3.08,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11,4.22,5.74,8.35,3.5,4.49,7.33,3.23,2.18,7.03,3.99,3.14,4.98,2.57,2.7,2.3,7.59,7.95,5.34,3.23,1.37,3.29,0.82,6.7,5.31,5.99,3.37,4.37,6.38,9.09,7.36,2.97,8.35,4.95,7.06,8.68,4.69,2.64,9.37,2.71,,5.33,8.1,4.7,5.73,6.55,1.45,0.93,3.12,4.5,3.83,1,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,5.08,2.81,4.03,3.37,5.21,3.76,3.37,3.43,1.85,5.41,4.32,3.33,5.28,5.14,1.42,2.8,4.9,2.44,3.03,2.07,3.24,4.09,5.77,2.8,4.72,8.05,6.17,7.72,8.88,8.45,8.29,2.97,3.07,2.84,5.51,6.6,2.57,5.84,7.92,,3.02,1.18,3.95,7.4,0.66,6.7,5.27,2.38,5.43,6.83,8.52,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,3.63,3.8,2.67,3.43,1.35,4.99,3.86,2.51,7.92,4.39,7.16,3.76,2.73,6.17,7.16,3.43,2.34,8.74,7.72,2.44,6.96,4.68,5.01,6.43,2.47,2.93,1.56,3.07,10.11,5.58,2.78,2.14,0.66,7.46,5.51,4.85,4.46,6.01,3.14,,3.15,4.82,2.9,4.95,3.18,4.8,4.37,4.23,5.93,4.5,8.48,,,,,,,,,,,
Total,,,,,,41.1,41.65,63.1,47.6,44.3,44.1,47.3,51.16,44.76,34.42,38.71,47.74,29.76,39.75,41.48,47.03,50.43,42.5,42.64,47.45,37.68,43.4,44.32,39.39,38.15,41.84,32.37,38.68,48.48,34.34,34.6,45.39,43.56,41.32,48.83,47.42,40.63,48.75,39.08,41.37,41.36,42.44,41.59,53.13,39.77,46.36,,45.5,56.86,48.92,46,45.64,,61.21,53.75,60.18,55.61,44.48,36.92,46.73,52.3,50.35,37.72,53.18,47.82,,,46.77,47.78,51.48,41.28,53.79,44.73,44.98,41.35,56.53,50.19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The location is for a rain gauge shown on the old OS maps close to the summit of Hurst Hill and at the correct elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There are notes saying the gauge is over exposed and that the readings are 5 inches too low in some cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Sep 1921, Mar, Apr and Sep 1927 and Jan 1941 readings are noted as being estimated therefore those readings and the associated annual totals have been removed from this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Aug to Dec 1940 and Feb to Apr 1941 are noted as being computed by Liverpool Water Works because gauge was faulty; these readings have been removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
