RIVINGTON (HURST HILL),,,,,,,,,,,,
Grid ref,SD631179,Long,-2.559805,Lat,53.656282,,,,,,,
Station no,3002,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.47,,,,,,,,,,,
February,3.92,,,,,,,,,,,
March,4.73,,,,,,,,,,,
April,3.00,,,,,,,,,,,
May,2.87,,,,,,,,,,,
June,1.23,,,,,,,,,,,
July,3.37,,,,,,,,,,,
August,4.52,,,,,,,,,,,
September,3.08,,,,,,,,,,,
October,1.00,,,,,,,,,,,
November,8.52,,,,,,,,,,,
December,8.48,,,,,,,,,,,
Total,50.19,,,,,,,,,,,
Calc annual,50.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
