WIMBOTSHAM-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF619050,Long,0.39010263,Lat,52.618633,Elevation,43,ft,,,,,,,,,,,,,
Station no,1464/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,,2.33,0.83,1.5,1.12,2.43,,,,,
February,,,,,,,,,,,,2.14,0.55,1.79,0.48,1.69,,,,,
March,,,,,,,,,,,,0.49,1.46,2.13,1.52,0.62,,,,,
April,,,,,,,,,,,,2.65,2.32,1.03,2.52,2.01,,,,,
May,,,,,,,,,,,,3.03,5.51,1.47,0.8,0.43,,,,,
June,,,,,,,,,,,0.86,1.03,0.59,1.88,1.56,3.37,,,,,
July,,,,,,,,,,,5.8,2.6,3.45,1.44,1.32,0.91,,,,,
August,,,,,,,,,,,2.18,4.06,2.64,0.83,1.87,0.35,,,,,
September,,,,,,,,,,,4.13,2.4,2.71,1.93,1.46,4.31,,,,,
October,,,,,,,,,,,0.61,0.82,3.53,2.69,2.03,2.47,,,,,
November,,,,,,,,,,,3.32,2.35,1.24,1.57,1.87,3.04,,,,,
December,,,,,,,,,,,2.01,0.61,0.9,0.79,4.12,2.16,,,,,
Total,,,,,,,,,,,,24.51,25.73,19.05,20.67,23.79,,,,,
