LIVERPOOL ALLERTON GREENHILL,,,,,,,,,,
Grid ref,SJ400873,Long,-2.9034186,Lat,53.379128,Elevation,125,ft,,
Station no,RR7976,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.74,3.96,1.11,4.66,3.25,1.71
February,,,,,1.29,1.54,3.27,3.49,1.43,2.58
March,,,,,1.8,0.9,2.72,2.98,1.68,1.4
April,,,,0.68,1.34,0.61,3.06,1.99,1.61,2.43
May,,,,2.03,1.92,2.57,0.6,2.37,3.6,2.4
June,,,,1.62,0.96,3.12,2.92,1.6,3.37,5.02
July,,,,4.05,3.58,4.03,2.41,5.45,0.83,4.14
August,,,,3.87,4.44,2.74,3.18,4.5,5.31,5.85
September,,,,3.28,2.64,5.04,4.18,2.94,4.21,3.46
October,,,,4.25,4.11,5.58,2.59,3.8,3.39,1.61
November,,,,2.53,5.05,3.71,4.88,5.5,1.69,1.19
December,,,,1.08,3,1.13,4.38,3.31,2.15,1.72
Total,,,,,32.87,34.93,35.3,42.59,32.52,33.51
,,,,,,,,,,
