"MANSTON AIRFIELD",,,,,,,,,,,,
Grid ref,TR335666,Long,1.351909,Lat,51.350474,,,,,,,
Station no,301/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.00,1.72,0.99,,,,,,,2.49,,
February,3.94,1.29,1.34,,,,,,,1.41,,
March,2.14,2.40,0.23,,,,,,,1.30,,
April,1.51,0.71,1.06,,,,,,,0.74,,
May,1.69,1.16,,,,,,,,2.15,,
June,1.34,2.08,,,,,,,,1.49,,
July,1.31,0.93,,,,,,,,2.36,,
August,3.83,2.81,,,,,,,,2.43,,
September,3.96,4.26,,,,,,,,4.15,,
October,1.49,1.70,,,,,,,,5.98,,
November,2.95,3.78,,,,,,,,2.98,,
December,1.59,2.05,,,,,,,,3.11,,
Total,27.75,24.89,,,,,,,,30.59,,
Calc annual,27.75,24.89,3.62,0.00,0.00,0.00,0.00,0.00,0.00,30.59,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
