RAINHAM-MOTNEY-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ829684,Long,0.627101,Lat,51.385171,Elevation,29,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,0.71,2.94,1.61,1.93,1.37,2.23,1.28,4.45,4.57,2.57,3.9,1.49,2.21,1.74,4.34,1.11,1.46,1.12,2.06,2.37,0.88,1.38,1.95,1.84,0.71,1.15,2.71,4.48,1.37,2.11,1.94,2.07
February,,,,,,,,,,0.3,0.73,1.81,0.21,1.08,0.1,4.12,1.49,3.56,0.62,1.31,1.33,1.79,0.45,1.27,0.97,1.28,2.28,1.14,1.29,0.77,3.99,4.98,0.77,1.02,1.55,1.72,0.43,3.13,1.7,0.02,1.67
March,,,,,,,,,,0.07,1.17,0.21,1.23,2.76,2.42,0.32,0.79,3.17,0.42,1.3,3.64,1.61,2.43,0.37,0.12,1.55,1.27,3.8,0.63,0.64,0.9,2.64,3.92,0.21,2.07,0.98,0.5,0.85,1.13,1.52,1.39
April,,,,,,,,,,1.37,1.11,3.04,1.46,0.49,2.07,2.34,1.25,2.09,0.42,2.2,1.16,1.66,1.5,1.22,1.33,1.2,1.75,1.48,1.23,1.15,1.59,2.23,0.86,1.96,0.16,0.15,0.91,0.09,0.64,2.01,0.57
May,,,,,,,,,,1.01,3.36,2.61,2.55,1.57,0.78,1.49,0.19,2.7,2.08,1.61,1.64,1.58,2.88,2.42,0.41,2.29,2.5,1.07,1.6,1.21,1.57,1.98,0.99,1.29,1.83,3.9,0.31,1.42,1.83,0.57,2.57
June,,,,,,,,,,0.99,0.77,0.82,0.71,1.43,0.96,2.28,2.52,2.76,0.44,1.44,0.57,1.26,0.39,1.29,1,0.58,2.06,1.9,2.64,0.5,0.86,0.98,1.59,2.02,3.64,2.21,1.53,1,3.63,0.62,1.19
July,,,,,,,,,,1.29,2.41,2.04,1.87,1.98,1.27,0.49,2.59,1.14,2.02,1.79,4.33,4.03,2.84,1.65,1.47,3.24,1.82,2.37,0.84,1.01,2.16,2.18,0.61,2.67,1.88,1.96,3.75,2.7,1.49,2.43,2.34
August,,,,,,,,,,1.97,3.07,3.26,0.44,0.42,1.05,2.33,1.37,2.34,2,2.01,0.11,3.14,2.02,1.18,2.67,2.5,3.41,0,2.55,1.14,1.76,2.94,2.33,1.51,3.16,2.7,2.93,2,4.27,1.11,3.94
September,,,,,,,,,,0.42,2.78,1.97,1.58,3.07,1.34,3.47,1.8,2.03,1.63,0.63,0.86,0.24,2.03,1.96,2.18,0.72,2.05,1.16,1.24,1,2.11,3.83,2.53,1.98,1.1,2.49,1.53,2.37,2.85,0.18,3.24
October,,,,,,,,,,3.15,0.85,0.43,5.41,1.33,1.59,3.01,1.78,2.24,2.14,6.95,2.5,1.04,2.96,2.69,3.7,1.75,0.8,0.42,1.2,7.25,0.18,0.78,1.66,2.32,1.27,4.21,1.04,1.24,2.42,2.32,4.74
November,,,,,,,,,,4.66,3.93,2.54,0.78,0.9,2.2,4.55,3.67,1.67,2.51,3.76,6.57,2.69,1.65,1.18,4.36,0.5,4.23,0.81,1.52,2.25,4.24,3.84,3.51,1.22,4.66,0.47,0.55,3.02,1.25,3.74,4.24
December,,,,,,,,,,5.4,1.84,0.47,0.21,0.33,4.91,2.5,1.77,3.9,2.11,1.11,1.42,1.65,2.02,1.85,1.57,3.55,1.94,2.26,2.79,1.02,1.63,1.74,2.15,0.62,1.4,1.36,2.13,1.8,2.56,3.87,2.59
Total,,,,,,,,,,21.34,24.96,20.81,18.38,16.73,20.92,28.18,23.67,32.17,18.96,28.01,25.62,22.9,22.91,21.42,20.89,20.62,25.23,18.47,19.9,18.82,22.37,30.07,22.76,17.53,23.87,24.86,20.09,20.99,25.88,20.33,30.55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
