"SULE SKERRY",,,,,,,,,,,,
Grid ref,HX622244,Long,-4.406385,Lat,59.084156,,,,,,,
Station no,5829/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,4.48,4.10,2.76,6.98,5.66,5.33,6.01,3.31,,
February,,,3.02,4.31,2.50,2.09,3.80,3.41,1.08,3.86,,
March,,,1.22,2.55,2.01,1.31,4.65,1.79,1.63,1.70,,
April,,,2.65,1.63,1.81,1.66,1.43,1.55,3.09,2.07,,
May,,,1.65,2.22,3.10,3.10,1.10,4.37,1.77,1.28,,
June,,3.71,1.56,4.11,1.71,2.86,2.71,1.94,2.95,1.87,,
July,,1.72,3.34,1.93,0.79,4.41,3.68,0.61,5.13,2.17,,
August,,5.96,1.69,2.31,0.99,5.03,3.13,2.30,2.37,1.96,,
September,,3.79,3.75,4.98,4.31,2.49,3.02,2.19,2.41,1.74,,
October,,5.06,2.41,8.70,5.65,4.26,5.52,5.35,5.26,1.66,,
November,,3.78,6.58,6.04,2.23,4.08,3.29,2.71,5.31,2.26,,
December,,3.82,2.63,6.31,7.08,5.73,5.40,4.39,5.19,6.04,,
Total,,,34.98,49.19,34.94,44.00,43.39,35.94,42.20,29.92,,
Calc annual,0.00,27.84,34.98,49.19,34.94,44.00,43.39,35.94,42.20,29.92,,
Difference,NaN,NaN,-0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
