"ELLON (ESSLEMONT HOUSE)",,,,,,,,,,,,
Grid ref,NJ934304,Long,-2.111363,Lat,57.364025,,,,,,,
Station no,5650,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,3.62,1.58,1.26,1.54,3.98,1.83,3.49,3.58,4.10,,
February,3.68,2.14,1.58,3.02,3.73,1.97,1.50,3.68,0.36,2.57,,
March,3.54,3.05,0.29,1.88,2.04,1.36,2.04,4.15,1.09,1.16,,
April,2.69,1.63,2.06,1.10,0.72,1.39,1.05,1.48,2.38,1.86,,
May,1.12,1.95,1.69,3.04,2.95,0.34,1.24,2.79,1.01,0.93,,
June,1.71,2.53,2.34,2.69,1.23,1.06,2.53,1.50,1.11,1.59,,
July,4.17,1.97,3.65,2.75,0.63,4.77,6.30,4.87,2.14,2.73,,
August,3.56,3.39,2.61,2.57,0.41,3.73,4.44,3.68,1.06,4.68,,
September,1.03,2.62,3.51,1.83,1.57,1.78,2.52,1.92,0.88,2.10,,
October,0.82,2.38,1.67,5.01,4.52,3.46,1.25,2.76,4.07,5.78,,
November,6.83,4.38,2.31,5.26,1.78,1.94,1.39,1.12,5.13,4.30,,
December,1.92,2.72,2.21,3.83,5.00,3.67,3.89,3.37,3.94,1.76,,
Total,34.97,32.38,25.50,34.24,26.12,29.45,29.98,34.81,26.75,33.56,,
Calc annual,34.97,32.38,25.50,34.24,26.12,29.45,29.98,34.81,26.75,33.56,,
Difference,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
