ALTON-THEDDEN-GRANGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SU684391,Long,-1.02324,Lat,51.14708,Elevation,600,ft,,,,,,,,,,,,
Station no,RR4784,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.74,2.42,4.16,4.43,3.75,4.54,3.89,1.4,1.32,4.53,3.35,1.04,2.62,,,,,,
February,,2.96,2.67,6.77,3.16,4.8,0.49,1.21,1.43,2.47,0.87,0.09,1.18,4.68,,,,,,
March,,2.74,1.41,1.34,2.85,2.19,2.08,2.04,4.77,3.03,1.9,2.76,1.4,0.65,,,,,,
April,,0.56,4.4,1.55,2.11,1.71,2.17,1.91,1.98,2.69,3.36,1.21,1.24,0.01,,,,,,
May,,1.13,2,2.15,0.98,4.58,3.72,1.94,2.72,4.1,2.18,3.81,0.84,0.99,,,,,,
June,,2.28,3.27,2.41,2.09,2.2,1.14,0.91,2.33,1.68,3.44,1.35,2.09,0.84,,,,,,
July,,2.31,3.39,2.85,2.49,0.31,2.72,1.17,5.51,1.97,4.13,3.13,2.74,4.42,,,,,,
August,,6.89,1.95,1.31,1.52,1.65,1.81,3.05,2.31,2.65,2.24,6.44,4.61,1.26,,,,,,
September,,2.48,3.27,4.78,3.07,6.56,2.5,3.09,1.72,1.31,0.68,2.27,3.98,2.49,,,,,,
October,,2.53,7.48,3.11,1.2,4.65,5.25,1.32,1.96,5.17,1.67,10.36,4.99,4.01,,,,,,
November,,5.57,4.39,4.9,1.8,3.71,3.81,5.29,6.17,1.61,2.51,3.96,3.37,3.34,,,,,,
December,,3.93,3.35,1.31,4.25,1.82,5.55,2.5,2.76,2.85,1.07,5.65,0.68,3.85,,,,,,
Total,,35.12,40,36.64,29.95,37.93,35.78,28.32,35.06,30.85,28.58,44.38,28.16,29.16,,,,,,
,,,,,,,,,,,,,,,,,,,,
Large grounds so NGR matches elevation,,,,,,,,,,,,,,,,,,,,
