EDINBURGH (GOGAR PARK),,,,,,,,,,,,,,,,,,,,
Grid ref,NT170723,Long,-3.3302201,Lat,55.936563,Elevation,155,ft,,,,,,,,,,,,
Station no,5138/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,2.86,2.2,1.34,3.93,2.29,3.82,4.22,1.21,1.12,3.44,2.12,2.01,2.44,2.06,2.52,,,
February,,,1.65,0.11,1.88,2.86,3.39,0.7,1.99,1.03,3.03,1.09,1.61,0.67,2.91,1.95,1.15,,,
March,,,1.01,3.19,1.01,1.77,1.84,0.92,3.63,2.56,2.77,1.05,1.67,0.55,1.08,1.62,3.42,,,
April,,,2,4.72,3.35,1.26,1.26,0.17,1.69,2.14,1.36,1.46,0.9,1.78,0.96,0.37,3.45,,,
May,,,2.4,1.2,0.86,1,2.71,3.49,0.97,1.55,3.42,1.46,3.21,2.15,3.75,2.02,2.79,,,
June,,,1.44,2.73,2.18,1.3,1.32,2.83,1.16,0.43,0.44,0.82,2.24,2.3,1.95,2.23,2.77,,,
July,,,6.63,2.75,0.8,4.03,4.78,3.15,2.22,7.36,3.04,2.83,1.85,2.63,2.61,3.8,2.66,,,
August,,0.44,1.19,3.72,1.53,1.35,4.62,1.41,1.14,0.67,2.7,1.85,4.15,2.83,2.91,2.67,0.18,,,
September,,2.33,2,1.67,2.91,2.99,1.97,2.14,1.88,2.39,0.77,2.32,1.45,4.34,4.43,3.82,1.25,,,
October,,5.89,2.42,3.48,6.55,1.75,4.37,5.04,2.28,2.48,2.99,2.39,3.25,3.01,3.61,0.99,1.42,,,
November,,1.9,1.37,1.04,4.48,2.48,0.33,3.99,3.51,3.35,1.36,0.5,0.8,5.33,0.41,3,3.24,,,
December,,5.35,0.67,3.16,1.23,2.73,2.25,2.37,0.97,2.26,0.9,1.41,0.88,2.27,2,2.19,1.7,,,
Total,,,25.64,29.97,28.12,27.45,31.13,30.03,25.66,27.43,23.9,20.62,24.13,29.87,29.06,26.72,26.55,,,
