CANNINGTON-BRYMORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST245394,Long,-3.080784,Lat,51.148861,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,4.03,1.14,5.46,1.58,0.81,1.56,3.74,1.06,3.99,6.05,0.76,2.63,0.98,0.59,4.02,4.08,3.36,2.56,3.79,2.8,4.04,2.61,4.28,3.84,4.22,,
February,,,,,5.48,1.1,2.22,1.48,1.73,0.41,3.76,2,2.43,0.87,2.55,4.16,5.2,0.88,0.97,3.27,0.71,0.2,3.05,8.86,0.32,3.88,2.05,2.55,2.62,,
March,,,,,2.17,3.97,1.81,0.69,3.28,2.83,0.44,1.85,4.28,3.67,4.68,0.75,3.73,3.03,0.85,4.02,2.83,1.48,2.18,1.28,1.09,0.49,1.11,3.44,3.33,,
April,,,,,0.95,2.61,1.19,4.7,1.74,1.82,2.63,1.6,0.24,2.66,1.29,0.72,0.82,1.55,2,1.87,3.36,0.67,3.07,1.98,2.89,2.47,2.73,1.35,1.65,,
May,,,,,2.59,0.16,4.38,2.59,1.27,0.98,2.89,1.27,1.92,2.55,1.24,2.5,3.37,2.53,1.18,0.37,1.75,1.65,0.78,1.6,3.06,3.3,1.25,1.34,0.6,,
June,,,,,0.84,4.05,2.48,1.76,0.17,3.18,2.96,1.96,5.15,0.68,2.87,1.25,2.03,6.45,1.13,1.18,1.97,0.95,0.85,0.62,2.72,0.02,3.03,2.58,2.46,,
July,,,,,2.99,0.84,0.7,1.97,1.37,1.4,2.63,0.17,2.47,0.71,4.71,3.08,0.8,2.74,4.79,2.65,4.46,0.29,3.08,1.71,3.7,2.38,2.89,4.47,2.06,,
August,,,,,2.83,5.45,2.07,2.29,3.11,1.92,5.32,1.29,6.78,1.62,3,2,4.78,6.71,2.52,3.04,1.23,1.16,3.44,2.19,13.11,2.93,1.8,3.72,1.74,,
September,,,,,2.18,1.3,0.61,0.38,3.53,2.21,0.34,1.52,1.2,2.67,3.1,1.15,2.15,1.42,6.61,1.4,1.39,1.62,1.91,3.18,4.52,3.92,2.58,7.93,,,
October,,,,,1.46,1.98,4.08,5.75,2.84,4.29,5.49,3.18,4.11,3.46,3.14,4.1,4.06,3.91,1.68,2.73,2.7,0.76,1.35,4.87,5.32,2.59,4.94,2.22,,,
November,,,,,2.07,2.99,2.5,2.89,1.15,1.06,4.54,3.15,2.25,3.19,3.81,1.93,3.72,0.87,2.31,2.2,1.3,1.67,1.7,2.42,3.06,2.56,7.48,3.08,,,
December,,,,,1.98,1.16,1.97,5.04,3.24,4.31,5.66,7.38,4.02,2.77,6.29,6.08,3.04,0.49,2.83,5.33,2.58,1.98,5.72,2.76,4.49,3.71,0.31,2.8,,,
Total,,,,,29.57,26.75,29.47,31.12,24.24,25.97,40.4,26.43,38.84,30.9,37.44,30.35,34.68,31.17,30.89,32.14,27.64,14.99,30.92,34.27,48.32,30.86,34.45,39.32,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Aug 19th Re reading: There is no doubt that 9 inches fell in this district in that night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Sept 17th Inspection. Gauge in excellent position even though mouth of gauge 2ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Aug Terminated. House sold. Gauge taken away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New gauge started at the school in 1959 but no record found here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
