WATTON - BESWICK & WATTON SCHOOL,,,,,,,,
Grid ref,TA013489,Long,-0.459,Lat,53.926,Elevation,39,ft
Station no,3400/8,,,,,,,
,,,,,,,,
,1940,1941,1942,1943,1944,1945,1946,
January,1.82,2.51,3.37,3.72,1.74,,1.95,
February,1.41,3.03,1.48,0.36,1.49,,,
March,1.65,2.51,0.59,0.54,0.26,,0.98,
April,1.17,1.39,0.95,1.01,2.37,,1.13,
May,1.35,1.26,4.24,2.98,0.89,,,
June,0.67,0.38,1.12,1.62,1.93,,,
July,5.83,3.35,2.33,1.23,1.68,,,
August,1.00,3.04,1.97,2.35,3.15,,,
September,1.49,0.78,2.41,3.32,5.48,,,
October,2.94,3.01,1.43,1.17,2.67,,,
November,3.84,2.94,0.83,2.53,3.15,,,
December,1.67,0.53,1.83,1.11,1.62,,,
Total,24.84,24.73,22.55,21.94,26.43,,,
,,,,,,,,
TYRain_1931-1940_19_pt1/264,,,,,,,,
TYRain_1941-1950_22_pt1/117,,,,,,,,
