DAILLY (CAPELRIG COTTAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NS269015,Long,-4.726657,Lat,55.27714,Elevation,100,ft,,,,,,,,,,,,
Station no,5266/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,3.15,4.99,6.92,7.15,3.53,2.7,1.01,5.71,5.62,5.67,4,,,,,
February,,,,,5.86,1.97,5.72,2.5,5.78,1.3,3.18,1.71,5.43,2.22,3.97,,,,,
March,,,,,2.06,2.65,1.5,2.77,4.93,7.4,2.5,2.06,2.68,0.62,2.78,,,,,
April,,,,,2.31,0.93,2.52,0.7,2.19,2.15,2.23,2.01,4.71,3.48,1.94,,,,,
May,,,,4.03,1.22,3.86,1.54,2.34,0.94,1.66,3.49,2.52,3.47,3.54,1.76,,,,,
June,,,,2.15,3.55,2.7,3.1,5.92,2.06,1.64,0.97,1.09,4.4,2.63,4.39,,,,,
July,,,,2.17,2.22,7.08,3.62,6.05,3.26,5.58,6.76,4.78,1.78,1.95,3.22,,,,,
August,,,,5.75,1.57,4.6,2.92,2.74,1.86,3.07,5.47,4.58,5.01,4.09,2.37,,,,,
September,,,,5.48,4.54,4.61,2.99,5.26,2.39,5.42,2.04,5.8,3.77,5.85,4.01,,,,,
October,,,,6.13,9.68,5.67,4,9.28,1.72,4.66,3.88,7.5,7.75,5.76,3.57,,,,,
November,,,,0.66,6.73,4.97,0.71,7.26,8.89,6.53,4.17,1.06,4.22,5.72,0.41,,,,,
December,,,,6.02,4.05,6.24,3.43,4.72,2.65,6.72,2.06,8.03,2.77,5.96,4.42,,,,,
Total,,,,,46.94,50.27,38.97,56.69,40.2,48.83,37.76,46.85,51.61,47.49,36.84,,,,,
