GLEN LEE (STABLES) NEW SITE,,,,,,,,,,
Grid ref,NO374815,Long,-3.029915,Lat,56.920561,Elevation,1555,ft,,
Station no,5611/9/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.2,5.5,5.6,5.75
February,,,,,,,5,5.05,1.1,9.4
March,,,,,,,4.15,9.15,3.85,4.1
April,,,,,,,2.1,3.45,4.3,5.65
May,,,,,,,3.15,5.05,1.9,2.35
June,,,,,,,2.55,3.5,2.25,2.1
July,,,,,,,7,6.95,4.55,5.1
August,,,,,,,7.6,4.45,2.7,6.1
September,,,,,,,2.33,5.25,0.95,4.9
October,,,,,,,2.33,4.15,6.65,12.55
November,,,,,,,3.05,1.55,10.25,9.15
December,,,,,,,5.03,5.6,11.95,3.3
Total,,,,,,,50.49,59.65,56.05,70.45
,,,,,,,,,,
Station no,5611/9/1,,,,,,,,,
Midas,15003,,,,,,,,,
Hyd Stn,851867,,,,,,,,,
