DUNS (KIMMERGHAME),,,,,,,,,,
Grid ref,NT815513,Long,-2.296322,Lat,55.754706,Elevation,250,ft,,
Station no,5090/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,1.35,3.65
February,,,,,,,,,0.36,3.5
March,,,,,,,,,0.55,1.5
April,,,,,,,,,1.8,0.9
May,,,,,,,,,0.25,1.75
June,,,,,,,,,1.7,2.25
July,,,,,,,,,3.2,3.9
August,,,,,,,,,0.48,4.25
September,,,,,,,,,0.62,1.77
October,,,,,,,,,2.25,7.25
November,,,,,,,,,4.35,2.6
December,,,,,,,,,4.01,2.15
Total,,,,,,,,,20.92,35.47
,,,,,,,,,,
"src_id 16064, station name KIMMERGHAME HOUSE",,,,,,,,,,
