SALISBURY-MANOR-ROAD (FOWLERS HILL) ,,,,,,,,,,,
Grid ref ,SU151297 ,Long ,-1.7855,Lat ,51.067,Elevation ,225,ft ,,,
Station no ,1509,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January ,3.55,2.42,3.5,1.19,3.05,2.95,,,,,
February ,0.94,0.74,2.87,5.22,0.22,4.05,,,,,
March ,1.95,1.35,2.16,1.71,1.23,0.33,,,,,
April ,4.01,0.75,3.69,3.35,3.18,,,,,,
May ,1.22,1.68,0.68,1.79,4.59,,,,,,
June ,2.13,0.39,0.98,0.52,1.98,,,,,,
July ,5.71,0.88,4.43,0.73,3.41,,,,,,
August ,1.69,1.67,4.24,2.41,2.06,,,,,,
September ,1.09,1.36,1.62,2.02,3.93,,,,,,
October ,3.14,0.98,1.18,5.58,4.34,,,,,,
November ,1.86,2.31,1.77,1.82,3.34,,,,,,
December ,2.71,1.67,3.54,3.51,4.54,,,,,,
Total ,30,16.2,30.66,29.85,35.87,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Gauge moved Jan 1925 ,,,,,,,,,,,
