STRATTON-ON-FOSSE (DOWNSIDE ABBEY),,,,,,,,,,,,
Grid ref,ST656507,Long,-2.494312,Lat,51.254420,,,,,,,
Station no,1961,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.81,4.58,0.82,2.67,4.57,6.01,4.22,3.29,4.59,3.74,,
February,5.68,1.02,2.67,4.12,2.80,0.45,4.94,4.29,0.30,2.58,,
March,4.79,4.73,1.19,4.66,1.53,1.79,3.25,1.57,3.59,1.69,,
April,4.54,2.38,3.39,0.49,1.60,1.18,0.17,1.64,2.45,2.22,,
May,3.03,4.26,2.43,3.15,4.45,0.90,2.49,3.04,1.57,1.56,,
June,0.96,2.78,2.37,5.65,3.61,2.53,2.07,3.57,2.67,3.15,,
July,2.08,1.05,5.95,3.74,0.23,3.42,5.92,2.26,1.85,4.55,,
August,6.88,6.18,3.49,3.93,1.16,5.16,4.10,3.99,0.67,7.24,,
September,3.56,4.32,5.12,4.62,2.72,5.00,4.67,5.88,0.16,4.10,,
October,0.96,5.09,3.14,4.61,2.13,2.55,3.23,2.71,3.26,8.34,,
November,10.17,5.17,2.30,8.95,4.28,0.65,2.21,2.36,4.15,5.66,,
December,3.15,4.50,1.21,3.61,5.44,4.37,3.05,4.20,7.81,5.74,,
Total,50.61,46.06,34.08,50.20,34.52,34.01,40.32,38.80,33.07,50.57,,
Calc annual,50.61,46.06,34.08,50.20,34.52,34.01,40.32,38.80,33.07,50.57,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
