TORSIDE RESERVOIR (new),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK055983,Long,-1.9176,Lat,53.4821,Elevation,669,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.16,6.01,7.9,5.09,2.79,3.52,3.38,3.51,5.2,4.97,5.09,1.91,2.17,4.22,5.63,7.2,5.37,5.34,3.38,10.9,2.63,3.9,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.86,1.03,7.05,0.47,7.09,0.34,6.33,3.53,7.12,2.31,4.54,2.52,4.97,1.87,3.3,3.45,5.41,8.49,1.68,2.84,2.59,5.96,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.81,3.09,0.71,3.08,3.51,4.03,2.68,3.22,2.78,1.89,3.48,3.09,6.05,2.84,1.67,0.98,1.65,1.75,5.85,1.54,2.19,2.01,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.85,4.07,6.45,5.3,1.95,3.19,3.69,1.91,4.18,0.71,2.75,3.84,3.53,2.24,2.71,3.22,2.8,1.91,4.17,2.19,5.4,4.85,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.47,2.69,2.39,2.93,4.81,1.87,2.99,1.04,1.58,2.73,4.01,3.05,0.97,2.87,3.62,3,7.96,3.26,2.03,3.28,1.71,2.91,2.11,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,6.43,2.02,5.74,6.42,0.58,3.63,2.76,4.8,3.83,2.41,5.08,2.95,0.99,2.22,1.46,4.13,3.69,4.99,4.4,2.62,5.86,1.1,3.31,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.77,2.85,7.46,5.59,6.4,4.12,5.19,2.29,5.36,3.28,5.43,7.15,5.69,3.06,5.93,2,3.86,2,6.95,3.18,2.44,3.28,3.64,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.92,5.72,5.28,7.6,2.07,1.71,3.76,2.1,3.29,1.4,3.97,2.26,2.59,6.75,4.85,6.58,4.98,4.61,4.41,0.4,5.25,3.64,4.98,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.72,1.9,5.15,6.23,5.26,1.86,3.14,6.17,7,1.62,2.27,1.74,4.47,0.74,3.36,4.94,5.96,3.11,6.9,2.17,2.49,1.69,6.12,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,4.21,5.9,6.47,2.47,8.55,6.08,6.54,8.7,5.98,2.55,8.62,3.55,3.86,6.12,8.05,2.94,4.93,6.69,1.12,1.24,3.4,3.75,2.51,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
