"MOYNALTY WESTLAND",,,,,,,,,,,,
Grid ref,IN7276282110,Long,-6.896750,Lat,53.783667,,,,,,,
Station no,RR1615,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.88,4.30,2.94,5.63,3.95,1.81,4.56,1.39,3.17,2.42,,
February,2.45,1.30,3.01,4.19,4.25,1.76,2.81,2.57,2.66,1.08,,
March,0.65,3.40,2.36,5.64,3.24,4.68,2.16,2.95,4.14,3.52,,
April,2.59,2.14,2.75,1.55,1.88,2.23,1.30,2.49,2.31,4.98,,
May,2.24,3.97,2.94,2.58,2.75,1.11,4.90,4.41,2.86,1.94,,
June,2.92,2.69,2.55,1.46,1.42,2.41,2.13,4.72,1.70,2.00,,
July,2.08,1.33,3.43,3.82,3.54,1.39,2.76,2.28,2.64,3.56,,
August,5.86,4.24,3.64,6.05,3.67,7.66,4.11,3.12,2.39,1.38,,
September,1.78,3.78,2.31,4.43,3.49,1.56,1.32,1.43,5.19,2.07,,
October,5.05,3.45,2.43,4.34,1.64,1.50,5.02,5.74,2.17,5.34,,
November,6.00,3.23,3.26,2.43,2.12,3.49,1.91,2.68,2.80,1.52,,
December,4.48,3.82,2.93,3.36,2.55,2.74,3.03,3.92,3.79,6.02,,
Total,39.98,37.65,34.55,45.48,34.50,32.34,36.01,37.70,35.82,35.83,,
Calc annual,39.98,37.65,34.55,45.48,34.50,32.34,36.01,37.70,35.82,35.83,,
Difference,-0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
