ORCHARS,,,,,,,,,,
Grid ref,NX573734,Long,-4.234367,Lat,55.034575,Elevation,450,ft,,
Station no,5015/4,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,8.28,12.66,4.31,8.17,11.23,9.52,7.76,
February,,,6.43,0.84,9.52,3.79,7.92,4.7,9.87,
March,,,5.06,4.66,2.28,4.99,3.1,4.71,6.93,
April,,,3.68,4.2,4.76,1.23,3.63,1.14,3.29,
May,,,2.69,5.2,1.1,2.31,2.47,6.49,1.1,
June,,2.23,3.49,2.47,5.44,4.28,3.49,8.83,3.82,
July,,4.97,6.02,3.6,3.1,7.85,6.5,8.3,7.55,
August,,2.47,4.38,5.56,1.99,4.27,3.47,2.62,2.08,
September,,6.34,2.02,8.96,8.29,6.65,3.6,7.51,3.75,
October,,8.57,4.14,11.06,12.45,7.26,4.41,13.17,4.22,
November,,6.45,2.98,2.1,9.49,6.13,1.49,12.79,,
December,,13.29,3.12,15.01,5.21,10.17,4.49,6.11,,
Total,,,52.29,76.32,67.94,67.1,55.8,85.89,,
,,,,,,,,,,
1939 Gauge moved to Laggan of Dee 28 Oct so November and December estimated; removed along with total,,,,,,,,,,
