"GLENLEVEN, CORROUR, NO. 5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 35877 66051,Long,-4.686176,Lat,56.757078,Elevation,1320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,5.39,7.69,7.35,7.12,6.7,4.52,5.04,7.98,8.17,16.93,4.88,7.12,5.9,15.1,16.32,6.46,14.35,6.5,10.15,13.18,12.66,19.15,1.9,12.6,7,17.35,9.2,13.4,4.52,3.2,11.49,,,
February,,,,,,,,5.63,5.61,2.35,6.69,11.79,4.75,5.24,11.59,5.98,,0.8,10.9,0.58,10.8,4.55,9.14,8.07,3.23,6.92,7.01,3.99,11.61,1.92,0.68,5.8,0.11,5.22,3.56,14.65,3.12,6.48,,,
March,,,,,,,,7.4,6.4,0.52,7.58,3.55,8.39,9.13,5.91,4.28,,3.1,1.76,3.8,8.5,11.1,3.17,3.42,0.39,3.68,8.41,3.71,4,1.82,3.9,0.71,3.12,4.4,4.58,6.22,2.95,2.26,,,
April,,,,,,,3.78,2.72,1.83,3.7,7.1,4.93,6.56,5.63,8.79,7.6,5.75,1.95,1.9,4.85,3.25,1.6,1.71,3.77,3.93,7.6,3.74,6.76,3.1,2.08,2.21,3.33,6.41,4.37,6.4,3.78,2.7,2.06,,,
May,,,,,,,4.65,4.83,3.17,4.62,4.35,4.46,2.8,5.24,3.25,0.61,2.12,1.67,1.55,1.81,4.55,6.92,9.42,3.97,4.65,9.08,3.95,2.66,1.13,5.04,4.31,7.05,3.65,2.67,4.1,0.73,2.28,3.36,,,
June,,,,,,,0.94,4.78,4.16,0.66,2.35,3.44,4.28,6.88,3.25,1.67,3.16,4.95,4.2,7.85,2,0.6,3.35,2.72,4.1,1.89,2.6,6.68,6.87,3.35,4.87,5.8,0.9,3.28,1.36,5.31,2.13,4.13,,,
July,,,,,,,5.62,2.04,3.91,3.68,4.07,5.31,2.39,0.56,1.97,4.15,3.1,2.35,4.25,0.55,4.93,4.78,4.62,6.66,9.02,2.55,5,4.34,5.7,4.74,2.45,6.03,7.48,3.85,4.05,2.56,5.5,6.4,,,
August,,,,,,,5.26,5.83,4.7,4.24,5.36,8.4,2.69,2.45,4.7,3.05,3.65,7.3,5.35,3.75,6.06,6.37,3.91,7.85,5.63,4.1,5.04,4.31,6.35,7.94,8.63,1.6,2.69,5.7,6.35,5,3.82,3.2,,,
September,,,,,,,3.37,1.91,8.5,2.91,1.42,5.21,2.7,3.36,2.99,1.93,3.88,7.55,10.9,8.4,4.85,5.05,3.13,9.73,11.65,4.33,6.82,7.37,6.53,3.3,5.67,1.71,8.08,1.44,10.44,12.75,6.2,4.3,,,
October,,,,,,,8.5,3.16,1.4,15.44,3.13,4.44,7.73,7.08,1.6,2.77,13.33,12.45,10.55,2.2,3.56,8.56,5.08,17.22,6.31,7.07,6.93,7.22,12.05,12.9,13.4,7.9,9.32,5.73,15.35,13.17,11.42,2.38,,,
November,,,,,,,4.94,5.89,7.29,7.75,2.08,12.68,8.92,15.85,10.39,2.32,11.9,14.65,7.9,5.7,11.05,3.95,5.28,6.74,6.18,1.12,11.08,9.52,10.63,12.71,9.5,10.78,10.9,2.83,2.38,8.11,6.66,1.1,,,
December,,,,,,,5.74,6.61,5.7,6.9,7.71,11.44,20,9.67,12.05,5.25,7.22,4.3,9.1,8.45,8.18,16.15,12.05,7.33,14.17,8.41,4.37,0.82,7.38,14.65,7.1,13.45,15.44,1.28,10.18,3.01,8.72,2.7,,,
Total,,,,,,,,56.19,60.36,60.12,58.96,82.35,75.73,76.13,74.47,47.78,,65.95,75.48,53.84,82.83,85.95,67.32,91.83,75.76,66.9,78.13,70.04,94.5,72.35,75.32,71.16,85.45,49.97,82.15,79.81,58.7,49.86,,,
