GAUR POWER STATION,,,,,,,,,,
Grid ref,NN464571,Long,-4.508883,Lat,56.680334,Elevation,794,ft,,
Station no,5559/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,5.95,4.62,4.56,10.35,4.05,2.5,4.56
February,,,,3.72,3.46,2.61,5,3.51,2.87,3.69
March,,,,2.71,0.85,3.95,5.17,1.34,3.55,2.03
April,,,,1.84,1.91,2.75,1.9,2.75,3.73,5.24
May,,,,4.48,3.13,3.62,1.59,5.51,1.24,2.5
June,,,,2.23,2.06,2.79,2.83,2.95,4.01,2.01
July,,,,2.42,0.68,5.17,4.83,4.04,4.11,2.81
August,,,,3.72,1.53,5.17,4.72,5.3,3.25,3.5
September,,,,6.09,4.74,6.01,2.76,4.37,1.38,3.35
October,,,3.37,10.45,4.86,5.52,7.35,5.94,7.44,4.14
November,,,8,8.69,2.29,4.36,1.31,1.26,5.99,5.28
December,,,7.26,13.11,11.36,10.3,9.55,6.76,7.75,7.44
Total,,,,65.41,41.49,56.81,57.36,47.78,47.82,46.55
,,,,,,,,,,
Station no,5559/3,,,,,,,,,
Midas,15155,,,,,,,,,
Hyd Stn,865045,,,,,,,,,
