EAST-LOOE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX255535,Long,-4.454424,Lat,50.355483,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,6.65,4.64,4.21,2.29,3.84,1.01,7.07,5.51,7.26,7.67,3.19,4.15,5.94,5.74,4.32,3.22,4.4,3.55,8.83,1.47,1.58,4.09,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,2.24,3.59,0.05,3.65,0.11,3.81,5.17,8.87,1.81,1.98,5.28,5.49,0.37,2.17,0.76,4.37,4.14,1.96,1.66,1.44,7.54,4.96,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,3.32,2.84,2.12,4.2,3.4,1.19,4.21,5.49,0.46,1.48,3.81,3.47,3.9,1.09,0.24,1.27,3.12,9,1.87,1.48,2.41,5.75,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,2.61,2.44,3.28,3.26,3.07,4.87,2.39,4.36,0.08,2.21,2.85,1.23,1.69,1,2.5,1.1,1.65,2.54,2.47,2.1,2.42,2.78,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,3.06,3.76,4.26,2.07,1.38,2.03,0.58,3.52,2.77,1.13,1.71,2.96,6.69,4.33,0.45,3.61,4.52,3.15,2.26,2.29,2.07,3.05,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,1.1,3.63,2.64,2.4,2,3.39,1.12,0.77,1.44,3.31,0.66,2.34,0.29,1.63,2.71,4.34,3.3,4.45,1.99,0.62,1.46,0.76,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,2.42,4.69,3.7,2.73,0.31,0.47,8.34,2.41,2.96,6.51,2.36,0.83,2.03,2.78,3.69,3.79,1.83,2.39,2.15,2.77,4.06,1.38,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.36,5.49,4.18,1.85,3.53,2.75,2.95,0.51,0.72,5.05,3.34,0.09,5.82,3.56,4.07,3.45,2.65,5.9,1.54,3.98,1.39,6.33,4.74,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,0.53,5.21,1.57,5.27,1.98,3.88,4.15,2.33,3.04,2.14,0.69,2.21,0.5,3.08,3.66,2.67,2.52,5.76,2.21,1.54,5.59,7.07,4.09,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,7.78,4.92,1.17,9,3.81,2.59,5.92,1.77,2.67,4.97,5.35,3.23,2.01,3.38,3.25,4.8,4.53,2.48,1.95,5.41,8.37,2.04,1.22,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
