GLASGOW  IBROXHOLME  2 M W OF,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 559 644,Long,-4.303636,Lat,55.851415,Elevation,20,ft,,,,,,,,,,,,
Station no,RR1976,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,3.36,2.29,1.4,6.48,2.2,,,,4.73,0.36,2,1.65,,
February,,,,,,,2.9,1.79,7.64,2.2,6.49,,,,2.77,0.6,3.31,0.9,,
March,,,,,,,2.89,0.56,2.3,0.76,0.6,,,,1.75,1.52,0.05,1.95,,
April,,,,,,,1.43,2.56,1.29,2.38,2.4,,,,0.62,1.26,1.46,1.7,,
May,,,,,,,1.62,3.66,0.66,2.6,2.1,,,,4.6,1.48,2.8,1.55,,
June,,,,,,,4.18,2.52,3.38,1.5,1.25,,,,3.48,2.88,3.4,2.85,,
July,,,,,,,4.28,1.4,2.73,2.86,2.65,,,,2.98,3.2,1.8,,,
August,,,,,,,4.56,1.39,3.1,2.45,2.88,,,,1.66,4.35,2.4,,,
September,,,,,,,2.4,2.33,1.28,1.58,2.4,,,,2.02,0.73,2.4,,,
October,,,,,,,4.11,5.42,2.63,2.2,2,,,,3.93,4.06,1.2,,,
November,,,,,,,3.32,5.11,5.57,6.1,4.27,,,,1.85,0.97,0.8,,,
December,,,,,,,0.86,4.3,3.88,1.41,3.61,,,,5.32,2.35,3.85,,,
Total,,,,,,,35.91,33.33,35.86,32.52,32.85,,,,35.71,23.76,25.47,,,
,,,,,,,,,,,,,,,,,,,,
Ibroxhom,,,,,,,,,,,,,,,,,,,,
Obs Gardner,,,,,,,,,,,,,,,,,,,,
See Rainfall,,,,,,,,,,,,,,,,,,,,
Investigations,,,,,,,,,,,,,,,,,,,,
