RENFREW AERODROME,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 50112 66094,Long,-4.396686,Lat,55.864646,Elevation,36,ft,,,,,,,,,,,,,
Station no,5297,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,6.58,4.06,3.92,4.59,4.81,5.81,5.54,9.49,1.64,5.55,3.83,6.39,4.87,,,,,,,
February,,1.24,4.16,4.3,0.58,3.08,4.44,2.55,4.52,2.15,0.24,3.3,0.03,3.44,,,,,,,
March,,5.63,1.56,1.45,0.84,2.2,2.91,3.11,3.63,0.8,3.1,1.13,2.04,,,,,,,,
April,,0.76,2.67,3.64,2.17,4.9,2.69,2.33,1.17,0.94,1.17,1.41,3.68,,,,,,,,
May,,1.99,3.28,1.48,3.97,6.15,2.91,2.69,2.13,2.41,1.61,4.3,2.99,,,,,,,,
June,3.04,0.4,1.47,0.98,1.6,0.39,1.76,4.14,5.07,2.54,2.71,4.59,1.14,,,,,,,,
July,3.22,3.98,2.45,3.28,3,1.77,2.88,3.17,2.24,2.62,4.46,4.28,3.07,,,,,,,,
August,5.09,5.67,2.43,4.9,3.13,3.69,3.02,5.32,3.85,5.88,4.83,2.09,1.09,,,,,,,,
September,2.32,1.69,1.77,6.03,4.31,2.94,2.78,6.12,2.89,1.12,3.6,1.15,3.93,,,,,,,,
October,1.48,4.53,2.01,4.84,3.13,3.66,6.39,5.34,6.7,5.56,5.98,2.89,5.88,,,,,,,,
November,4.35,3.19,2.52,2.98,2.85,0.69,6.58,3.96,5.25,6.35,4.94,7.11,3.66,,,,,,,,
December,4.19,5.43,3.71,3.22,6.69,3.56,1.42,1.38,4.48,9.04,4.12,3.89,8.1,,,,,,,,
Total,,41.09,32.09,41.02,36.86,37.84,43.59,45.65,51.42,41.05,42.31,39.97,42,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1920 Jan-May +Tdeleted  estd,,,,,,,,,,,,,,,,,,,,,
