"GLASGOW CESSNOCK PARK, GOVAN ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS564648,Long,-4.294618,Lat,55.855088,Elevation,34,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.1,6.5,7.1,6.43,4.53,0.73,2.31,2.46,3.34,5.05,5.1,3.43,3.88,7.05,2.25,3.34,6.51,2.82,7.05,3.84,3.22,3.29,5.15,7.42,3.86,6.7,3.39,8.6,5.34,
February,6.52,3.5,4.13,0.94,3.12,0.68,3.82,1.39,1.15,5.04,3.03,2.72,1.18,3.18,4.3,2.8,5.84,3.18,5.69,5.43,3.19,3.59,2.54,1.57,0.92,1.55,5.14,4.84,2.32,
March,0.55,4.27,0.85,0.58,2.12,1.74,0.12,2.23,1.4,5.58,3.63,5.47,4.07,1.11,4.48,1.85,1.1,0.94,4.04,0.69,0.67,2.7,2.36,2.19,3.17,1.9,5.84,2.14,2.82,
April,2.45,1.67,0.53,1.22,0.7,1.38,1.68,1.76,1.92,3.86,1.04,0.43,2.67,3.83,2.13,0.84,1.33,3.95,3.35,1.03,1.15,3.6,0.77,0.17,1.92,1.29,1.9,3.21,2.46,
May,2.17,0.45,2.62,0.44,4.97,1.6,3.12,1.75,3.35,0.51,1.86,0.95,4.45,2.68,1.4,2.92,1.24,2.75,2.35,0.82,3,1.11,3.21,2.74,2.27,1.14,0.81,1.98,2.9,
June,1.73,3.03,3.18,3.62,3.55,3.13,1.48,-999,-999,-999,3.99,2.69,1.92,2.64,2.62,-999,1.85,1.59,1.14,1.87,1.49,2.18,7.07,2.05,0.6,2.74,3.09,2.82,2.54,
July,2.32,-999,4.46,3.44,3.02,3.2,2.14,-999,-999,-999,2,4.57,4.16,4.05,2.77,-999,2.74,3.89,0.33,2.08,2.11,4.05,5.49,3.16,2.78,1.26,2.76,2.12,0.45,
August,3,-999,4.9,3.11,1.65,4.7,4.5,-999,-999,2.85,3.4,7.3,3.1,2.2,1.5,4.57,4.28,3.98,4.07,0.84,1.5,2.97,4.02,3.89,4.72,2.62,4.64,7.33,2.89,
September,2.79,1.02,1.15,2.31,2.08,0.75,6.44,2.64,2.59,3.71,1.26,4.7,2.95,3.83,4.84,0.86,4.84,2.56,2.4,4.76,2.79,1.52,8.06,4.4,3.85,5,2.64,1.47,4.8,
October,2.5,3.04,2.13,4.9,3.98,4.68,1.39,2.7,4.34,3.34,4.39,3.73,7.4,3.89,2.84,3.89,2.44,3.89,4.2,1.45,3.57,2.27,3.32,6,8.29,5.84,6.4,5.9,3.95,
November,4.07,1.27,5.66,2.72,1.9,1.03,1.51,2.43,1.34,3.5,1.35,5.8,2.03,1.82,2.62,2.89,3.45,0.84,3.2,4.87,1.55,2.59,4.53,2.1,4.06,4.43,3.64,7.24,1.73,
December,4,1.53,10.26,0.68,5.83,2.77,4.34,4.54,3.17,3.75,2.87,2.97,5.49,4.97,2.43,4.1,5.39,2.41,6,6.4,2.18,4.13,6.37,2.65,2.28,5.03,7.04,5.6,2.04,
Total,34.2,33.57,46.97,30.39,37.45,26.39,32.85,27.52,29.6,41.19,33.92,44.76,43.3,41.25,34.18,30.46,41.01,32.8,43.82,34.08,26.42,34,52.89,38.34,38.72,39.5,47.29,53.25,34.24,
