GLASGOW (KELVINGROVE PARK),,,,,,,,,,,,,,,,,,,,
Grid ref,NS572666,Long,-4.283796,Lat,55.871342,Elevation,48,ft,,,,,,,,,,,,
Station no,5178,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.74,3.56,6.17,4.36,2.77,4.87,4.54,1.04,5.1,2.72,2.57,5.63,3.75,1.26,3.15
February,,,,,,2.63,1.19,4.06,3.97,4.35,2.64,1.33,1.3,3.61,2.22,1.08,3.05,2.54,1.32,3.14
March,,,,,,1.85,2.94,3.09,1.87,2.45,2.68,2.18,0.87,2.36,1.8,2.33,3.8,1.08,1.61,2.03
April,,,,,,1.36,5.33,2.87,3.76,2.93,2.12,1.9,1.71,1.52,1.56,1.11,1.89,1.1,3.09,2.68
May,,,,,,1.25,4.56,1.27,1.95,1.13,1.89,1.8,2.08,3.33,3.02,1.8,2.68,3.07,1.22,2.83
June,,,,,,3.28,2.73,5.02,1.06,1.88,2.44,2.68,2.34,2.99,1.85,2.64,1.91,2.93,2.66,2.28
July,,,,,,3.83,2.73,2.86,2.34,6.04,3.26,2.77,4.72,3.11,1.45,4.99,3.03,4.5,4.21,3.61
August,,,,,,2.53,0.01,6.48,4.17,4.81,4.23,3.24,3.67,5.43,0.93,5.18,4.48,5.31,0.49,3.89
September,,,,,,5.82,4.56,6.37,1.47,8.35,3.07,3.11,3.03,4.73,3.23,4.84,2.49,3.64,1.2,2.26
October,,,,,,0.49,2.09,4.26,5.95,3.2,0.89,4.07,2.08,9.12,2.7,2.83,4.16,3.06,4.68,2.8
November,,,,,0.41,5.22,5.34,3.2,3.93,2.52,5.88,2.07,5.5,5.91,1.82,1.48,1.59,1.84,4.65,4.81
December,,,,,3.19,3.5,2.14,5.52,7.34,1.91,5.1,3.35,4.4,5.11,6.26,4.25,4.19,4.69,6.24,4.29
Total,,,,,,36.5,37.18,51.17,42.17,42.34,39.07,33.04,32.74,52.32,29.56,35.1,38.9,37.51,32.63,37.77
