DROMARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ289495,Long,-6.016756,Lat,54.377949,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6203/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.17,6.85,4.03,6.75,5.09,3.94,4.34,5.82,4.14,2.56,3.7,5.48,10.99,3.1,1.63,2.51,4.08,0.97,2.29,3.6,3.41,4.47,3.83,,3.74
February,,,,,,2.6,8,1.44,2.62,4.45,3.74,1.27,1.84,1.14,2.38,2.04,1.38,2.33,1.29,4.97,5.41,0.7,1.38,4.93,5.14,1.21,3.08,5.33,1.04,3.27
March,,,,,,3.82,4.53,1.19,3.42,4.75,4.74,2.72,1.13,0.5,1.56,3.17,5.98,1.87,3.18,1.85,3.14,1.11,0.37,4.28,2.44,2.72,2.61,2.21,,3.31
April,,,,,,0.88,2.57,0.2,2.72,5.32,3.1,2.72,1.75,2.23,1.77,1.55,3.18,1.67,2.59,3.65,1.56,1.86,1.86,0.71,2.56,1.54,0.91,1.46,2.79,3.99
May,,,,,,1.47,1.23,2.5,0.94,1.08,2.71,4.74,5.31,1.51,4.51,1.2,3.71,2.53,2.65,1.32,3.68,2,2.79,4.91,2.28,0.85,2.25,3.97,1.8,2.51
June,,,,,,3.25,2.19,4.21,2.02,1.01,0.53,0.34,3.28,2.89,3.91,3.76,3.18,3.92,0.83,2.21,2.16,3.18,1.61,2.28,5.66,3.23,1.06,7.15,,1.72
July,,,,,,7.54,2.82,5.66,4.39,4.73,3.44,3.41,1.9,3.42,3.51,3.09,4.1,2.69,2.86,,3.21,1.39,4.75,2.97,1.39,3.72,4.51,4.37,,6.81
August,,,,,,2.35,2.74,2.17,1.53,1.2,4.3,3.96,4.46,3.18,2.49,6.2,0.9,4.07,2.97,,3.91,7.41,3.92,3.1,1.82,7.58,4.86,6.23,1.41,5.27
September,,,,,,4.52,2.65,3.13,2.15,2,1.74,4.46,3.38,6.6,2.85,6.12,2.92,4.18,3.19,,4.18,1.84,3.15,3.82,2.2,4.29,6.79,6.07,1.87,3.13
October,,,,,,2.56,4.39,5.79,6,5.32,4.1,3.26,4.07,5.12,4.31,1.89,1.98,2.02,5.04,3.18,0.57,5.23,2.83,6.2,1.88,2.19,4.05,3.19,4.57,7.47
November,,,,,,5.54,2.04,4.53,6.36,5.16,4.74,0.57,2.41,6.32,1.29,5.38,4.2,3.66,2.09,3.25,9.96,3.01,4.1,7.32,3.1,1.62,2.63,1.62,4.62,5.64
December,,,,,,2.98,3.92,5.67,2.37,3.63,1.93,4.37,2.17,4.17,4.55,5.1,3.79,7.37,3.7,3.93,5.07,2.87,3.23,4.71,4.83,6.8,7.03,5.8,6.82,3.49
Total,,,,,,42.68,43.93,40.52,41.27,43.74,39.01,36.16,37.52,41.22,35.69,43.2,40.8,47.3,33.49,,45.36,34.68,30.96,47.52,36.9,39.16,44.25,51.23,,50.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1950 July 5.79, Aug 5.88, Sept 5.27 and Totals estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1959 Jan 2.79, Mar 4.64,June 2.21, July 4.37 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16377,DROMARA ,01/01/1936,01/12/2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
