"CASTLE HILL, ABERDEEN",,,,,,,,,,
Grid ref,NJ 94695 06483,Long,-2.089314,Lat,57.149199,Elevation,81,ft,,
Station no,RR8557,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,1.35,4.08,2.27,
February,,,,,,,1.73,1.14,1.57,
March,,,,,,,1.53,1.41,1.58,
April,,,,,,,0.89,2.86,2.3,
May,,,,,,,1.39,2.3,1.31,
June,,,,,,,0.94,1.28,0.72,
July,,,,,,,2.73,2.63,0.71,
August,,,,,,,1.59,3.23,4.88,
September,,,,,,,2.64,1.9,3.59,
October,,,,,,1.64,1.53,1.29,1.43,
November,,,,,,3.14,2.34,0.85,0.64,
December,,,,,,1.12,2.19,2.02,2.8,
Total,,,,,,,20.85,24.99,23.8,
,,,,,,,,,,
Gauge Height above Ground Level 21ft 4inches,,,,,,,,,,
,,,,,,,,,,
These experiments by Sergt. Turner are of interest for measuring differences in readings from Gauges,,,,,,,,,,
mounted at different heights above Ground Level,,,,,,,,,,
They seem to predate the experiments reported in by COLOUR-SERGEANT J. ARNOLD at Aldershot,,,,,,,,,,
"""British Rainfall 1869 pg 40 1870 pg 4 1871 pg 53 1872 pg3""",,,,,,,,,,
see ALDERSHOT-CAMP,,,,,,,,,,
"""Other Observers were carrying out similar experiments ee BR 1865 pg 16 BR 1866""",,,,,,,,,,
see CALNE-CASTLE-WALK,,,,,,,,,,
,,,,,,,,,,
Station no,RR8557,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
