LUTTERWORTH-LEICESTER-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP546855,Long,-1.1977639,Lat,52.464721,Elevation,430,ft,,,,,,,,,,,,,
Station no,2491,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,,3.45,1.59,1.16,1.55,1.86,0.93,,,,,
February,,,,,,,,,,,0.61,2.84,0.43,2.97,0.67,2.2,,,,,
March,,,,,,,,,,,2.11,0.12,1.32,3.09,1.96,0.63,,,,,
April,,,,,,,,,,,2.54,3.61,3.11,1.27,2.26,3.55,,,,,
May,,,,,,,,,,,2.53,2.61,5.62,2.01,0.78,0.85,,,,,
June,,,,,,,,,,,1.84,1.63,0.73,2.45,1.03,3.7,,,,,
July,,,,,,,,,,,3.59,2.69,4.6,2.34,1.99,0.45,,,,,
August,,,,,,,,,,,2.41,4.47,1.42,0.69,1.85,1.73,,,,,
September,,,,,,,,,,0.95,3.35,4.44,3.05,1.55,1.73,3.83,,,,,
October,,,,,,,,,,3.01,2.15,0.7,3.01,2.54,1.69,3.42,,,,,
November,,,,,,,,,,5.57,2.78,2.44,2.21,1.76,1.93,,,,,,
December,,,,,,,,,,4.59,2.58,1.03,0.89,0.41,4.65,,,,,,
Total,,,,,,,,,,,29.94,28.17,27.55,22.63,22.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1935 Nov Dec estimated (gauge moved Nov),,,,,,,,,,,,,,,,,,,,,
