GLEN ETIVE (DALNESS),,,,,,,,,,
Grid ref,NN169512,Long,-4.985551,Lat,56.616779,Elevation,240,ft,,
Station no,5406/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,10.42,2.04,15.3,,6.64,10.43,18.81,11.82,4.53,7.76
February,7.64,8.04,10.24,6.22,6.25,6.05,8.27,6.08,7.95,7.5
March,8.4,7.22,4.54,6.3,2.52,5.7,12.42,4.45,5.6,3.28
April,10.09,5.61,8.34,,8.33,5.08,4.93,8.22,8.85,10.73
May,1.38,3.89,6.62,5.47,6.86,10.73,3.43,9.77,2.69,4.72
June,3.73,7.93,1.11,9.22,7.59,5.95,5.77,2.38,7.34,7.28
July,10.35,8.45,13.07,6.34,1.54,9.62,9.46,3.98,11.83,8.46
August,10.09,8.97,10.85,10.02,3.52,7.15,10.88,9.61,10.95,9.14
September,10.52,11.58,17.96,14.84,15.76,10.3,6.87,8.74,4.59,5.38
October,5.89,15.13,11.38,22.56,12.74,10.88,20.58,13.5,13.11,4.34
November,15.14,5.15,27.39,,5.44,12.85,5.72,2.59,12.81,13.26
December,19.17,12.09,13.54,,18.75,21.91,16.92,10.26,13.95,12.41
Total,112.82,96.1,140.34,,95.94,116.65,124.06,91.4,104.2,94.26
Calc annual,112.82,96.1,140.34,,95.94,116.65,124.06,91.4,104.2,94.26
Difference,0,0,0,,0,0,0,0,0,0
,,,,,,,,,,
1954 deletions as estimated,,,,,,,,,,
