"GLEN ETIVE",,,,,,,,,,,,
Grid ref,NN150486,Long,-5.014606,Lat,56.592708,,,,,,,
Station no,5406,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.00,100.00,,,,,,,,,,
February,6.78,2.45,,,,,,,,,,
March,6.02,100.00,,,,,,,,,,
April,10.35,,,,,,,,,,,
May,1.76,,,,,,,,,,,
June,3.23,,,,,,,,,,,
July,12.25,100.00,,,,,,,,,,
August,8.64,9.85,,,,,,,,,,
September,8.25,100.00,,,,,,,,,,
October,6.56,,,,,,,,,,,
November,10.00,,,,,,,,,,,
December,11.32,100.00,,,,,,,,,,
Total,97.16,100.00,,,,,,,,,,
Calc annual,97.16,512.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-412.30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
