GLEN ETIVE,,,,,,,,,,
Grid ref,NN 127 463,Long,-5.050405,Lat,56.571317,Elevation,100,ft,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,14.87,13.14,,,14.82,13.4,
February,,,,0.67,4.8,,,14.97,6.09,
March,,,,3.53,14.09,,,6.55,9.25,
April,,,,2.2,7.04,,,3.18,4.02,
May,,,,4.2,,,,6.82,6.47,
June,,,,5.87,,,,13.35,3.4,
July,,,,8.53,,,,10.19,3.06,
August,,,,8.89,,,,5.58,6.64,
September,,,,7.07,,,,7.51,14.14,
October,,,,12.52,,,,15.33,10.83,
November,,,12.35,8.48,,,,21.14,4.16,
December,,,8.32,14.06,,,,20.48,4.17,
Total,,,,90.89,,,,139.92,85.63,
,,,,,,,,,,
Low confidence for 1872-4 Location,,,,,,,,,,
