GLEN ETIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN150486,Long,-5.014606,Lat,56.592708,Elevation,127,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.6,7.18,13.3,15.84,20.99,5.06,9.39,4.12,18.28,24.48,5.78,11.22,6.53,12.39,17.15,19.6,22.81,2.9,17.88,12.88,21.9,13.97,17.41,10.43,5.16,,21.41,4.45,1.18,0.58,10.58,13.5,19.49,3.18,11.88,,10.87,10.36,11.38,January,12,100,,,,,,,,
February,,,4.8,11.61,13.68,10.45,10.85,2,13.78,2.27,20.06,7.64,9.17,5.07,2.98,9.41,9.52,6.97,14.83,3.42,0.63,12.44,0,10.56,5,15.01,,,11.06,14.84,4.87,5.19,4.32,10.38,5.49,14.56,6.41,,7.74,16.11,9.34,February,6.78,2.45,,,,,,,,
March,,,11.06,13.74,9.52,8.36,2.03,5.76,2.52,4.01,13.85,21.17,3.76,2.11,0.18,5.8,12.05,6.05,7.58,3.23,6.45,0.97,5.16,7.32,6.49,6.07,,,25.07,7.64,10.18,1.96,5.5,8.27,3.61,9.3,,,9.92,6.36,7.93,March,6.02,100,,,,,,,,
April,,,11.42,7.64,12.37,11.17,7.65,2.79,1.48,10.82,2.98,2.24,2.08,,5.21,10.12,3.88,13.2,5.27,3.03,4.34,4.28,8.01,10.75,4.84,4.7,1.84,3.66,1.94,5.54,,4.61,1.39,10.54,4.61,2.43,3.18,,6.38,12.31,3.19,April,10.35,,,,,,,,,
May,,,5.25,8.76,4.85,0.61,8.03,2.5,2.79,1.2,11.43,6.15,13.19,,2.64,11.63,5.25,5.81,0.98,6.12,5.05,7.67,3.98,4.26,8.24,1.16,2.67,3.87,4.24,2.43,,2.6,2.76,9.48,7.58,6.14,1.57,,1.55,6.59,2.06,May,1.76,,,,,,,,,
June,,,8.55,9.24,3.53,2.49,2.53,6.24,5.51,10.34,3.52,1.49,4.61,3.51,5.76,2.52,6.79,6.68,8.3,5.61,6.25,10.7,1.88,3.89,2.74,7.05,3.15,7.82,10,3.97,,1.01,5.88,7.26,7.8,8.01,6.23,,3.21,4.68,2.4,June,3.23,,,,,,,,,
July,,,4.42,0.84,2.88,7.71,5.26,2.18,5.1,2.8,5.74,4.91,7.64,7.42,7.15,5.65,7.27,2.8,9.78,5.5,4.52,7.39,11.04,5.71,7.69,6.07,8.57,9.71,7.5,10.56,,6.28,6.66,5.66,2.91,2.91,6.34,,6.24,5.27,9.68,July,12.25,100,,,,,,,,
August,,,4.2,3.91,9.66,3.5,5.89,10.17,9.18,6.36,6.98,4.92,4.49,8.98,7.79,4.6,10.18,7.92,8.25,8.57,13.33,2.09,5.41,8.26,11.58,8.63,7.4,4.74,6.12,3.59,8.17,6.25,10.74,7.58,4.33,2.49,,,9.81,,10.99,August,8.64,9.85,,,,,,,,
September,,,5.22,4.02,6.21,2.73,4.15,12.31,9.26,12.1,5.37,6.21,5.17,15.79,12.91,5.9,9.13,7.63,6.59,5.28,6.37,2.41,13.73,2.49,13.88,15.07,,8.55,11.83,4.75,9.05,3.69,10.79,7.59,5.39,9.87,8.58,,18.33,,15.99,September,8.25,100,,,,,,,,
October,,,13.71,7.99,2.88,4.32,17.59,19.73,18.49,6.72,3.77,12.71,5.2,14.41,7.21,8.2,7.48,12.59,15.68,18.75,14.61,12.24,12.93,8.53,18.4,21.24,,3.33,18.92,4.76,6.74,8.39,8.87,17.29,6.88,5.8,0.49,,16.23,11.73,7.21,October,6.56,,,,,,,,,
November,,,14.55,17.5,15.65,2.81,19.46,22.45,11.22,10.48,12.71,2.14,4.64,,9.9,2.42,10.85,12.77,16.31,15,13.93,11.9,14.32,5.01,5.45,10.07,,1.9,21.12,15.5,10.75,11.45,3.41,7.85,9.72,1.21,,,6.84,5.8,8.38,November,10,,,,,,,,,
December,,,30.21,14.02,17.87,8.48,8.52,8.81,10.1,15.79,9.67,14.57,11.59,7.41,16.28,9.63,10.14,1.13,5.69,23,12.49,13.66,16.57,3.06,14.35,4.98,,4.83,10.78,3.05,9.65,7.89,11.97,9.57,10.35,7.04,,,11.5,12.54,8.59,December,11.32,100,,,,,,,,
Total,,,118.99,106.45,112.4,78.47,112.95,100,98.82,87.01,114.36,108.63,77.32,,84.54,88.27,109.69,103.15,122.07,100.41,105.85,98.63,114.93,83.81,116.07,110.48,,,149.99,81.08,,59.9,82.87,114.97,88.16,72.94,,,108.62,,97.14,Total,97.16,100,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Deletions as estimates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
