BOVEY-TRACEY-HEDGE-BARTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX734790,Long,-3.79011,Lat,50.597,Elevation,1137,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1714/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.89,8.91,3.28,8.69,11.29,11.22,10.16,11.46,4.02,10.96,4.53,10.16,4.74,6.52,0.99,11.11,14.02,8.6,10.02,4,9.7,6.78,14.91,4.45,4.58,7.63,7.03,13.89,1.16,
February,,0.32,7.74,15.64,3.67,9.03,6.14,6.62,6.91,5.35,2.88,4.98,0.07,5.66,0.37,7.05,9.21,9.96,2.25,3.52,8.68,7.76,0.59,3.14,1.15,4.12,5.4,4.26,2.59,2.81,
March,,4.75,5.73,2.51,3.85,0.56,1.49,7.17,8.52,0.43,4.24,3.69,4.23,6.27,5.51,2.18,6.39,9.48,0.27,2.33,4.66,6.33,5.09,2.2,0.36,1.54,4.17,12.33,2.61,1.96,
April,7.94,0.99,7.27,6.24,5.83,5.44,3.21,3.47,3.57,0.96,6.08,5.34,4.55,1.82,4.62,6.98,4.35,5.92,0.33,4.58,5.1,1.37,3.48,1.65,3.85,1.36,2.85,4.37,3.54,3.11,
May,2.99,2.97,1.16,3.51,5.72,6.89,2.74,0.9,1.22,4.77,2.15,4.74,4.69,3.82,2.59,3.34,1.46,3.89,4.76,0.76,2.4,3.2,10.74,6.27,1.02,4.79,8.53,3.7,2.74,3.29,
June,3.05,0.11,1.46,0.31,2.82,0.04,4.75,3.59,3.83,3.31,0.86,3.88,4.07,2.74,2.59,5.64,1.97,1.91,2.07,4.24,1.6,2.84,0.78,1.76,3.57,4.81,4.94,4.24,2.69,0.75,
July,6.24,1.8,5.85,1.53,5.17,4.79,1.84,7.71,2.32,2.34,3.81,6.48,3.34,3.31,1.83,0.64,10.84,1.75,5.73,8.83,3.62,1.26,2.58,4.07,4.24,4.41,1.72,3.25,1.68,2.73,
August,1.37,2.6,4.66,4.66,4.19,4.54,2.32,5.66,3.15,2.9,7.47,6.69,2.78,2.73,6.46,2.29,0.47,1.34,9.17,5.02,0.26,5.97,3.66,4,5.33,2.77,7.15,1.95,4.95,3.73,
September,2.88,1.49,5.72,4.18,7.06,5.61,2.43,8.14,1.77,0.62,8.82,2.54,7.08,2.93,3.88,5.17,4.66,2.37,1.91,0.79,2.35,0.7,3.81,5.38,4.18,3.72,10.24,2.78,2.09,6.83,
October,7.04,2.01,2.15,10.6,10.4,7.02,4.89,4.43,9.6,9.8,8.14,1.32,10.68,6.2,4.76,5.03,1.69,4.42,6.05,9.03,8.25,3.96,3.52,6.71,7.78,6.55,5.33,1.86,5.87,11.7,
November,4.19,7.73,4.08,4.65,7.89,5.92,15.47,5.93,10.32,19.29,11.01,14.11,3.7,1.65,3.22,7.64,5.48,4.6,9.73,13.34,12.34,5.24,1.72,3.78,11.13,1.65,12.04,5.62,3.03,7.27,
December,8.71,4.07,9.75,5.54,9.45,10.87,0.95,7.93,8.87,17.56,6.76,3.17,5.2,3.48,19.55,7.31,6.75,5.38,8.43,3.45,5.53,5.89,10.08,4.49,5.99,10.34,8.22,2.53,10.95,2.21,
Total,,34.73,64.48,62.65,74.74,72,57.45,71.71,71.54,71.35,73.18,61.47,60.55,45.35,61.9,54.26,64.38,65.04,59.3,65.91,58.79,54.22,52.83,58.36,53.05,50.64,78.22,53.92,56.63,47.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 Station formerly numbered 1734 Renumbered owing to revision of river div lines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Total low Observer states gauge in perfect working order Site not over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
