AYLSHAM-BURGH-ROAD,,,,,,,,,,
Grid ref,TG195267,Long,1.2541309,Lat,52.793193,Elevation,86,ft,,
Station no,RR8006,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.69,2.47,3.39,1.65,,,
February,,,,0.75,1.5,2.76,4.33,,,
March,,,,2.27,3.3,2.12,3.61,,,
April,,,,1.88,0.58,0.85,1.8,,,
May,,,,1.04,1.07,1.7,2.21,,,
June,,,,0.74,1.74,0.71,2.08,,,
July,,,,2.28,1.57,3.59,,,,
August,,,,1.18,1.3,2.77,,,,
September,,,,1.73,1.27,1.29,,,,
October,,,,3.51,2.23,1.78,,,,
November,,,,1.96,3.1,3.59,,,,
December,,,,0.89,6.51,3.91,,,,
Total,,,,20.92,26.64,28.46,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1916 Jul gauge moved,,,,,,,,,,
