CHIPSTEAD-SHABDEN-PARK,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ275561,Long,-0.17286,Lat,51.2903,Elevation,550,ft,,,,,,,,,,,,,,
Station no,RR4794,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911
January,,,,,,2.14,1.02,2.36,0.88,3.34,3.86,1.22,0.97,2.67,4.91,1.45,5.54,1.14,1.8,1.33,1.99,1.42
February,,,,,,0.27,0.46,3.02,1.35,2.99,6.22,2.05,1.36,2.04,3.65,1.06,2.87,1.97,1.34,0.77,3.88,1.37
March,,,,,,2.02,3.83,4.59,1.44,0.81,0.97,2.69,1.78,3.32,1.75,4.03,1.43,1.05,3.52,3.82,1.13,1.99
April,,,,,,1.99,0.89,1.51,1.18,3.16,1.41,2.4,1,2.38,1.64,1.68,0.52,3.78,2.59,2.04,1.66,1.69
May,,,,,,0.52,0.21,1.63,3.5,1.79,1.45,1.03,2.48,3.2,2.31,0.78,1.8,2.12,2.4,1.5,2.44,4.62
June,,,,,,0.39,3.08,2.07,1.7,1.17,2.76,1.44,3.94,6.54,0.83,6.03,2.34,1.97,1.6,3.37,2.49,2.56
July,,,,,,4.7,1.78,1.48,0.85,1.03,1.2,2.07,1.71,4.46,1.17,0.69,0.88,1.5,3.92,3.77,2.56,0.25
August,,,,,,2.72,2.34,3.49,1.01,0.97,3.94,2.44,3.05,4.78,1.6,2.7,1.43,2.64,4.5,2.4,3.38,0.88
September,,,,,,0.99,7.22,2.57,0.48,2.73,1.12,1.81,0.6,3.11,1.58,2.45,2.01,0.69,1.51,3.44,0.99,1.05
October,,,,,,3.32,4.06,0.61,3.86,2.26,2.11,4,2.3,7.12,2.36,1.66,4.68,4.57,2.41,5.23,2.79,4.26
November,,,,,,5.85,1.74,1.29,3.87,5.48,2.66,0.79,2.77,2.86,1.81,4.79,5.68,3.41,1.07,1.23,2.95,4.58
December,,,,,,3.12,4.31,3.65,3.28,1.61,3.62,5.1,1.74,2.83,3.87,0.83,2.2,3.8,3.37,3.7,3.99,6.59
Total,,,,,,28.03,30.94,28.27,23.4,27.34,31.32,27.04,23.7,45.31,27.48,28.15,31.38,28.64,30.03,32.6,30.25,31.26
,,,,,,,,,,,,,,,,,,,,,,
No notes about moves Only clues on top of sheet,,,,,,,,,,,,,,,,,,,,,,
1912 Moved to Nepicar about 0.75 miles NNE,,,,,,,,,,,,,,,,,,,,,,
