CHIPSTEAD-SHABDEN-PARK-(NEPICAR-DIAL-COTTAGE),,,,,,,,,,,,,,,,,,,
Grid ref,TQ279575,Long,-0.16667,Lat,51.3023,Elevation,530,ft,,,,,,,,,,,
Station no,RR4794,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3,4.3,0.76,4.46,1.15,1.68,3.57,4.57,3.27,2.98,,,,,,,,,
February,2.12,1.07,4.37,4.78,5.74,1.13,1.67,3,0.82,0.21,,,,,,,,,
March,4,2.94,4.47,0.81,4.82,2.03,1.34,4.67,2.24,2.38,,,,,,,,,
April,0.03,2.98,0.92,1.5,1.35,3.14,4.14,3.7,4.06,1.42,,,,,,,,,
May,1.33,1.98,1.2,2.88,3.06,1.95,2.29,0.13,0.88,2.71,,,,,,,,,
June,3.56,0.29,1.02,0.93,2.09,2,1.17,1.22,1.96,0.09,,,,,,,,,
July,1.78,3.49,2.34,4.49,1.42,5.68,6.51,2.23,4.77,0.36,,,,,,,,,
August,6.11,2.39,1.57,1.98,3.36,7.62,1.29,2.98,1.96,1.44,,,,,,,,,
September,4.02,1.68,1.21,2.73,1.29,2.08,6.57,1.97,3.72,1.4,,,,,,,,,
October,2.91,4.41,1.75,2.35,4.89,4.69,2.13,1.01,1.17,0.87,,,,,,,,,
November,2.41,3.15,3.75,3.1,5.79,1.86,3.65,1.91,1.18,1.69,,,,,,,,,
December,3.13,1.16,8.67,6.38,3.12,2.09,3.22,5.1,3.14,1.87,,,,,,,,,
Total,34.4,29.84,32.03,36.39,38.08,35.95,37.55,32.49,29.17,17.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
No notes about moves Only clues on top of sheet,,,,,,,,,,,,,,,,,,,
1912 Moved to Nepicar from Shabden Park a move of about 0.75 miles NNE,,,,,,,,,,,,,,,,,,,
1916 Moved to Dial Cottage Walpole Avenue Marked as new station but elevation same and only 250yds NNE,,,,,,,,,,,,,,,,,,,
