STRATHMIGLO LEDEN URQUHART,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 17681 11097,Long,-3.331295,Lat,56.28516,Elevation,615,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,3.02,1.73,1.01,2.39,4.52,4.82,2.05,4.1,2.44,1.83,1.54,4.59,2.06,,,,,,,,
February,,,,,,,,,,5.71,3.03,6.26,3.71,3.12,2.41,3.87,1.44,1.99,0.95,1.45,1.27,0.27,,,,,,,,
March,,,,,,,,,,4.04,2.46,3.93,3.39,1.59,2.88,2.97,3.6,1.36,5.48,0.92,3.08,2.69,,,,,,,,
April,,,,,,,,,,3.25,3.78,1.31,3.94,1.82,1.14,2.93,1.65,1.81,1.72,4.85,1.07,1.88,,,,,,,,
May,,,,,,,,,,2.25,0.89,1.93,2.56,1.36,2.67,3.87,4.79,1.08,2.38,3.16,1.75,2.33,,,,,,,,
June,,,,,,,,,,5.13,2.13,3.13,2.92,2.79,0.31,0.63,1.3,0.76,2.53,1.06,3.88,0.62,,,,,,,,
July,,,,,,,,,,4.45,3.17,3.51,4.08,5.99,6.09,0.73,3.91,1.49,5.12,2.68,2.54,2.86,,,,,,,,
August,,,,,,,,,,6.14,0.44,4.9,2.4,3.55,1.42,2.92,1.25,2.95,2.46,5.86,3.08,5.56,,,,,,,,
September,,,,,,,,,,2.45,2.8,3.76,2.44,3.2,2.82,4.44,3.27,4.48,0.34,0.69,3.63,3.71,,,,,,,,
October,,,,,,,,,,1.37,1.84,3.96,4.22,2.66,2.4,1.36,3.52,1.23,2.2,4.03,2.25,3.69,,,,,,,,
November,,,,,,,,,,1.94,4.06,4.52,4.08,3.6,2.56,2.42,1.87,4.54,6.55,1.22,6.61,3.7,,,,,,,,
December,,,,,,,,,,1.49,3.69,2.68,4.89,2.06,3.96,1.88,2.75,1.78,3,1.9,2.17,6.29,,,,,,,,
Total,,,,,,,,,,41.24,30.02,40.9,41.02,36.26,33.48,30.07,33.45,25.91,34.56,29.36,35.92,35.66,,,,,,,,
