BOLTON VALE BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,SD726088,Long,-2.4152627,Lat,53.575078,Elevation,305,ft,,,,,,,,,,,,
Station no,RR7967,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.76,2.99,6.07,4.87,3.47,3.16,3.86,1.72,,,,,,,,
February,,,,,3.67,4.18,5.43,3.41,3.09,5.1,1.24,4.01,,,,,,,,
March,,,,,2.54,2.83,2.86,1.5,6.34,1.56,3.13,3.34,,,,,,,,
April,,,,0.52,2.35,1.36,0.8,5.22,2.11,3.07,2.46,3.92,,,,,,,,
May,,,,3.28,3.05,3.01,2.53,2.07,1.1,2.95,1.69,,,,,,,,,
June,,,,4.75,3.43,0.73,5.28,1.27,0.48,1.62,4.11,,,,,,,,,
July,,,,1.66,1.66,3.15,3.69,8.03,0.85,1.2,0.97,,,,,,,,,
August,,,,6.62,1.78,6.25,6.14,1.97,5.1,3.31,2.42,,,,,,,,,
September,,,,7.12,5.24,0.66,9.74,4.89,2.54,8.93,3.6,,,,,,,,,
October,,,,5.95,2.29,6.65,3.55,5.46,7.18,4.85,11.16,,,,,,,,,
November,,,,5.28,4.9,4.09,8.16,2.38,3.53,5.43,3.83,,,,,,,,,
December,,,,3.54,2.67,1.77,6.35,4.53,9.58,4.65,3.04,,,,,,,,,
Total,,,,,36.34,37.67,60.6,45.6,45.37,45.83,41.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1866 arithmetic incorrect on record,,,,,,,,,,,,,,,,,,,,
