BOLTON HAULGH annual totals,,,,,,,,,,,,,,,,,,,,
Grid ref,SD726088,Long,-2.4152627,Lat,53.575078,Elevation,305,ft,,,,,,,,,,,,
Station no,RR7967,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,
Total,,,,,36.34,37.67,60.6,45.6,45.37,45.83,41.51,42.31,,,,,,,,
